Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,202,9,2,1.10011,False
0.0,1.0,3,1,5.0,500000.0,207,206,9,0,0.0,False
1.0,0.998782,2,1,5.0,500000.0,,219,6,1,0.761035,False
1.0,0.998782,3,1,5.0,500000.0,224,216,6,3,0.518519,False
2.0,0.995134,2,1,5.0,500000.0,,206,9,1,0.539374,False
2.0,0.995134,3,1,5.0,500000.0,215,200,10,3,0.3225,False
3.0,0.989074,2,1,5.0,500000.0,,218,13,1,0.352858,False
3.0,0.989074,3,1,5.0,500000.0,214,210,14,2,0.145578,False
4.0,0.980631,2,1,5.0,500000.0,,224,10,2,0.892857,False
4.0,0.980631,3,1,5.0,500000.0,207,213,11,1,0.088348,False
5.0,0.969846,2,1,5.0,500000.0,,216,10,0,0.0,False
5.0,0.969846,3,1,5.0,500000.0,206,198,12,1,0.0867,False
6.0,0.956773,2,1,5.0,500000.0,,210,19,2,0.501253,False
6.0,0.956773,3,1,5.0,500000.0,218,228,15,1,0.063743,False
7.0,0.941474,2,1,5.0,500000.0,,197,16,0,0.0,False
7.0,0.941474,3,1,5.0,500000.0,214,205,21,0,0.0,False
8.0,0.924024,2,1,5.0,500000.0,,208,21,2,0.457875,False
8.0,0.924024,3,1,5.0,500000.0,202,178,24,3,0.141854,False
9.0,0.904508,2,1,5.0,500000.0,,193,27,3,0.575705,False
9.0,0.904508,3,1,5.0,500000.0,207,185,25,1,0.044757,False
10.0,0.883022,2,1,5.0,500000.0,,180,29,1,0.191571,False
10.0,0.883022,3,1,5.0,500000.0,231,202,35,3,0.09802,False
11.0,0.85967,2,1,5.0,500000.0,,189,32,0,0.0,False
11.0,0.85967,3,1,5.0,500000.0,226,209,43,1,0.025147,False
12.0,0.834565,2,1,5.0,500000.0,,189,42,1,0.125976,False
12.0,0.834565,3,1,5.0,500000.0,192,177,35,1,0.030993,False
13.0,0.807831,2,1,5.0,500000.0,,198,53,3,0.285878,False
13.0,0.807831,3,1,5.0,500000.0,222,187,43,2,0.055217,False
14.0,0.779596,2,1,5.0,500000.0,,162,48,1,0.128601,False
14.0,0.779596,3,1,5.0,500000.0,223,168,54,0,0.0,False
15.0,0.75,2,1,5.0,500000.0,,177,58,1,0.097409,False
15.0,0.75,3,1,5.0,500000.0,222,158,73,1,0.019247,False
16.0,0.719186,2,1,5.0,500000.0,,155,72,1,0.089606,False
16.0,0.719186,3,1,5.0,500000.0,236,161,77,1,0.019037,False
17.0,0.687303,2,1,5.0,500000.0,,162,62,0,0.0,False
17.0,0.687303,3,1,5.0,500000.0,203,147,76,2,0.036341,False
18.0,0.654508,2,1,5.0,500000.0,,152,88,1,0.074761,False
18.0,0.654508,3,1,5.0,500000.0,209,134,65,2,0.047991,False
19.0,0.620961,2,1,5.0,500000.0,,151,75,2,0.1766,False
19.0,0.620961,3,1,5.0,500000.0,214,138,85,1,0.018244,False
20.0,0.586824,2,1,5.0,500000.0,,143,105,2,0.1332,False
20.0,0.586824,3,1,5.0,500000.0,232,142,99,1,0.016503,False
21.0,0.552264,2,1,5.0,500000.0,,117,98,2,0.174429,False
21.0,0.552264,3,1,5.0,500000.0,221,120,102,0,0.0,False
22.0,0.51745,2,1,5.0,500000.0,,123,92,3,0.265111,False
22.0,0.51745,3,1,5.0,500000.0,185,120,91,0,0.0,False
23.0,0.48255,2,1,5.0,500000.0,,96,105,0,0.0,False
23.0,0.48255,3,1,5.0,500000.0,212,105,117,3,0.05177,False
24.0,0.447736,2,1,5.0,500000.0,,106,136,1,0.069367,False
24.0,0.447736,3,1,5.0,500000.0,236,105,131,4,0.06863,False
25.0,0.413176,2,1,5.0,500000.0,,88,127,1,0.089477,False
25.0,0.413176,3,1,5.0,500000.0,241,99,141,3,0.051795,False
