Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,842,13,12,1.096291,False
0.0,1.0,3,1,5.0,500000.0,198,204,8,3,0.363971,False
1.0,0.998782,2,1,5.0,500000.0,,850,7,7,1.176471,False
1.0,0.998782,3,1,5.0,500000.0,237,226,6,1,0.174779,False
2.0,0.995134,2,1,5.0,500000.0,,854,13,10,0.900739,False
2.0,0.995134,3,1,5.0,500000.0,230,236,10,2,0.194915,False
3.0,0.989074,2,1,5.0,500000.0,,855,24,22,1.072125,False
3.0,0.989074,3,1,5.0,500000.0,205,214,5,0,0.0,False
4.0,0.980631,2,1,5.0,500000.0,,853,24,21,1.025791,False
4.0,0.980631,3,1,5.0,500000.0,223,225,11,0,0.0,False
5.0,0.969846,2,1,5.0,500000.0,,819,40,32,0.976801,False
5.0,0.969846,3,1,5.0,500000.0,237,218,15,0,0.0,False
6.0,0.956773,2,1,5.0,500000.0,,798,41,31,0.947491,False
6.0,0.956773,3,1,5.0,500000.0,232,227,14,1,0.073002,False
7.0,0.941474,2,1,5.0,500000.0,,807,54,43,0.986736,False
7.0,0.941474,3,1,5.0,500000.0,232,220,24,1,0.043939,False
8.0,0.924024,2,1,5.0,500000.0,,776,70,51,0.938881,False
8.0,0.924024,3,1,5.0,500000.0,215,217,24,2,0.082565,False
9.0,0.904508,2,1,5.0,500000.0,,767,78,64,1.069769,False
9.0,0.904508,3,1,5.0,500000.0,239,205,31,1,0.037608,False
10.0,0.883022,2,1,5.0,500000.0,,741,103,78,1.021972,False
10.0,0.883022,3,1,5.0,500000.0,193,182,30,2,0.070696,False
11.0,0.85967,2,1,5.0,500000.0,,745,141,96,0.913894,False
11.0,0.85967,3,1,5.0,500000.0,230,190,38,1,0.031856,False
12.0,0.834565,2,1,5.0,500000.0,,732,134,101,1.029688,False
12.0,0.834565,3,1,5.0,500000.0,224,183,33,2,0.074184,False
13.0,0.807831,2,1,5.0,500000.0,,670,183,113,0.921621,False
13.0,0.807831,3,1,5.0,500000.0,232,189,50,0,0.0,False
14.0,0.779596,2,1,5.0,500000.0,,694,191,134,1.010909,False
14.0,0.779596,3,1,5.0,500000.0,221,145,70,0,0.0,False
15.0,0.75,2,1,5.0,500000.0,,648,243,159,1.009755,False
15.0,0.75,3,1,5.0,500000.0,237,177,63,0,0.0,False
16.0,0.719186,2,1,5.0,500000.0,,607,245,136,0.914501,False
16.0,0.719186,3,1,5.0,500000.0,221,171,62,0,0.0,False
