Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,218,2,0,0.0,False
0.0,1.0,3,1,5.0,500000.0,228,217,11,2,0.191035,False
1.0,0.998782,2,1,5.0,500000.0,,235,9,1,0.472813,False
1.0,0.998782,3,1,5.0,500000.0,212,213,9,3,0.331768,False
2.0,0.995134,2,1,5.0,500000.0,,250,9,3,1.333333,False
2.0,0.995134,3,1,5.0,500000.0,210,191,5,1,0.219895,False
3.0,0.989074,2,1,5.0,500000.0,,200,9,0,0.0,False
3.0,0.989074,3,1,5.0,500000.0,227,212,9,0,0.0,False
4.0,0.980631,2,1,5.0,500000.0,,215,12,1,0.387597,False
4.0,0.980631,3,1,5.0,500000.0,222,220,6,1,0.168182,False
5.0,0.969846,2,1,5.0,500000.0,,201,14,0,0.0,False
5.0,0.969846,3,1,5.0,500000.0,208,207,12,1,0.083736,False
6.0,0.956773,2,1,5.0,500000.0,,202,19,4,1.042209,False
6.0,0.956773,3,1,5.0,500000.0,225,218,17,2,0.121425,False
7.0,0.941474,2,1,5.0,500000.0,,205,19,0,0.0,False
7.0,0.941474,3,1,5.0,500000.0,221,200,25,2,0.0884,False
8.0,0.924024,2,1,5.0,500000.0,,192,21,3,0.744048,False
8.0,0.924024,3,1,5.0,500000.0,206,193,23,0,0.0,False
9.0,0.904508,2,1,5.0,500000.0,,192,31,2,0.336022,False
9.0,0.904508,3,1,5.0,500000.0,236,207,30,2,0.076006,False
10.0,0.883022,2,1,5.0,500000.0,,173,32,3,0.541908,False
10.0,0.883022,3,1,5.0,500000.0,229,195,38,3,0.092713,False
11.0,0.85967,2,1,5.0,500000.0,,176,43,1,0.132135,False
11.0,0.85967,3,1,5.0,500000.0,231,194,35,1,0.034021,False
12.0,0.834565,2,1,5.0,500000.0,,180,59,4,0.376648,False
12.0,0.834565,3,1,5.0,500000.0,195,166,42,3,0.083907,False
13.0,0.807831,2,1,5.0,500000.0,,182,49,1,0.112133,False
13.0,0.807831,3,1,5.0,500000.0,220,167,58,2,0.045426,False
14.0,0.779596,2,1,5.0,500000.0,,151,45,1,0.147167,False
14.0,0.779596,3,1,5.0,500000.0,221,188,39,1,0.030142,False
15.0,0.75,2,1,5.0,500000.0,,164,66,1,0.092387,False
15.0,0.75,3,1,5.0,500000.0,227,168,78,6,0.103938,False
16.0,0.719186,2,1,5.0,500000.0,,160,67,1,0.093284,False
16.0,0.719186,3,1,5.0,500000.0,227,159,66,0,0.0,False
17.0,0.687303,2,1,5.0,500000.0,,159,86,5,0.365657,False
17.0,0.687303,3,1,5.0,500000.0,204,160,66,4,0.077273,False
18.0,0.654508,2,1,5.0,500000.0,,135,83,1,0.089246,False
18.0,0.654508,3,1,5.0,500000.0,205,132,68,2,0.045677,False
19.0,0.620961,2,1,5.0,500000.0,,151,91,3,0.218325,False
19.0,0.620961,3,1,5.0,500000.0,227,136,92,1,0.018143,False
20.0,0.586824,2,1,5.0,500000.0,,136,87,0,0.0,False
20.0,0.586824,3,1,5.0,500000.0,227,133,89,0,0.0,False
21.0,0.552264,2,1,5.0,500000.0,,122,111,8,0.590755,False
21.0,0.552264,3,1,5.0,500000.0,206,108,119,0,0.0,False
22.0,0.51745,2,1,5.0,500000.0,,116,123,1,0.070087,False
22.0,0.51745,3,1,5.0,500000.0,254,127,117,2,0.034188,False
23.0,0.48255,2,1,5.0,500000.0,,100,113,2,0.176991,False
23.0,0.48255,3,1,5.0,500000.0,195,119,105,3,0.046819,False
24.0,0.447736,2,1,5.0,500000.0,,94,121,1,0.08792,False
24.0,0.447736,3,1,5.0,500000.0,224,88,137,2,0.03716,False
25.0,0.413176,2,1,5.0,500000.0,,75,133,1,0.100251,False
25.0,0.413176,3,1,5.0,500000.0,227,89,135,3,0.056679,False
26.0,0.379039,2,1,5.0,500000.0,,82,127,1,0.096025,False
26.0,0.379039,3,1,5.0,500000.0,233,83,152,2,0.036937,False
27.0,0.345492,2,1,5.0,500000.0,,81,155,1,0.07965,False
27.0,0.345492,3,1,5.0,500000.0,191,68,143,1,0.019642,False
28.0,0.312697,2,1,5.0,500000.0,,81,147,2,0.167968,False
