Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,217,11,3,1.256808,False
0.0,1.0,3,1,5.0,500000.0,220,230,8,0,0.0,False
1.0,0.998782,2,1,5.0,500000.0,,214,9,0,0.0,False
1.0,0.998782,3,1,5.0,500000.0,205,211,7,1,0.138795,False
2.0,0.995134,2,1,5.0,500000.0,,238,7,1,0.60024,False
2.0,0.995134,3,1,5.0,500000.0,206,222,11,4,0.337428,False
3.0,0.989074,2,1,5.0,500000.0,,213,14,1,0.335345,False
3.0,0.989074,3,1,5.0,500000.0,217,222,11,1,0.088862,False
4.0,0.980631,2,1,5.0,500000.0,,222,9,0,0.0,False
4.0,0.980631,3,1,5.0,500000.0,238,227,13,1,0.080651,False
5.0,0.969846,2,1,5.0,500000.0,,224,13,1,0.343407,False
5.0,0.969846,3,1,5.0,500000.0,223,218,16,3,0.1918,False
6.0,0.956773,2,1,5.0,500000.0,,198,17,5,1.485443,False
6.0,0.956773,3,1,5.0,500000.0,232,204,19,2,0.119711,False
7.0,0.941474,2,1,5.0,500000.0,,196,18,0,0.0,False
7.0,0.941474,3,1,5.0,500000.0,214,208,24,4,0.171474,False
8.0,0.924024,2,1,5.0,500000.0,,193,22,1,0.235516,False
8.0,0.924024,3,1,5.0,500000.0,224,201,25,0,0.0,False
9.0,0.904508,2,1,5.0,500000.0,,192,30,3,0.520833,False
9.0,0.904508,3,1,5.0,500000.0,180,177,19,0,0.0,False
10.0,0.883022,2,1,5.0,500000.0,,214,38,4,0.491884,False
10.0,0.883022,3,1,5.0,500000.0,206,181,23,1,0.049484,False
11.0,0.85967,2,1,5.0,500000.0,,190,33,0,0.0,False
11.0,0.85967,3,1,5.0,500000.0,213,187,27,0,0.0,False
12.0,0.834565,2,1,5.0,500000.0,,196,41,3,0.37332,False
12.0,0.834565,3,1,5.0,500000.0,196,185,32,5,0.165541,False
13.0,0.807831,2,1,5.0,500000.0,,171,47,4,0.497698,False
13.0,0.807831,3,1,5.0,500000.0,241,195,54,2,0.045774,False
14.0,0.779596,2,1,5.0,500000.0,,160,54,0,0.0,False
14.0,0.779596,3,1,5.0,500000.0,226,183,53,3,0.069904,False
15.0,0.75,2,1,5.0,500000.0,,158,63,0,0.0,False
15.0,0.75,3,1,5.0,500000.0,226,162,58,0,0.0,False
