Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,200,17,3,0.882353,False
0.0,1.0,3,1,5.0,500000.0,234,238,9,1,0.109244,False
1.0,0.998782,2,1,5.0,500000.0,,219,10,2,0.913242,False
1.0,0.998782,3,1,5.0,500000.0,222,227,6,3,0.488987,False
2.0,0.995134,2,1,5.0,500000.0,,201,6,0,0.0,False
2.0,0.995134,3,1,5.0,500000.0,205,219,9,5,0.520041,False
3.0,0.989074,2,1,5.0,500000.0,,203,7,3,2.111189,False
3.0,0.989074,3,1,5.0,500000.0,228,209,7,0,0.0,False
4.0,0.980631,2,1,5.0,500000.0,,224,7,1,0.637755,False
4.0,0.980631,3,1,5.0,500000.0,225,220,14,1,0.073052,False
5.0,0.969846,2,1,5.0,500000.0,,217,13,2,0.708968,False
5.0,0.969846,3,1,5.0,500000.0,207,201,9,0,0.0,False
6.0,0.956773,2,1,5.0,500000.0,,196,17,2,0.60024,False
6.0,0.956773,3,1,5.0,500000.0,218,194,17,1,0.066101,False
7.0,0.941474,2,1,5.0,500000.0,,222,31,4,0.581226,False
7.0,0.941474,3,1,5.0,500000.0,222,200,23,1,0.048261,False
8.0,0.924024,2,1,5.0,500000.0,,196,28,3,0.546647,False
8.0,0.924024,3,1,5.0,500000.0,233,232,24,0,0.0,False
9.0,0.904508,2,1,5.0,500000.0,,188,28,2,0.379939,False
9.0,0.904508,3,1,5.0,500000.0,215,212,18,0,0.0,False
10.0,0.883022,2,1,5.0,500000.0,,199,36,1,0.139587,False
10.0,0.883022,3,1,5.0,500000.0,211,190,27,2,0.082261,False
11.0,0.85967,2,1,5.0,500000.0,,206,40,2,0.242718,False
11.0,0.85967,3,1,5.0,500000.0,220,196,33,1,0.034014,False
12.0,0.834565,2,1,5.0,500000.0,,190,36,3,0.438596,False
12.0,0.834565,3,1,5.0,500000.0,225,191,44,2,0.053546,False
13.0,0.807831,2,1,5.0,500000.0,,175,40,0,0.0,False
13.0,0.807831,3,1,5.0,500000.0,221,165,48,0,0.0,False
14.0,0.779596,2,1,5.0,500000.0,,169,52,2,0.227583,False
