Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,210,2,0,0.0,False
0.0,1.0,3,1,5.0,500000.0,200,192,6,0,0.0,False
1.0,0.998782,2,1,5.0,500000.0,,206,7,1,0.693481,False
1.0,0.998782,3,1,5.0,500000.0,224,207,8,1,0.135266,False
2.0,0.995134,2,1,5.0,500000.0,,209,12,2,0.797448,False
2.0,0.995134,3,1,5.0,500000.0,230,228,6,0,0.0,False
3.0,0.989074,2,1,5.0,500000.0,,207,10,2,0.966184,False
3.0,0.989074,3,1,5.0,500000.0,235,238,13,2,0.151907,False
4.0,0.980631,2,1,5.0,500000.0,,211,10,0,0.0,False
4.0,0.980631,3,1,5.0,500000.0,226,212,16,3,0.199882,False
5.0,0.969846,2,1,5.0,500000.0,,200,20,3,0.75,False
5.0,0.969846,3,1,5.0,500000.0,217,218,16,1,0.062213,False
6.0,0.956773,2,1,5.0,500000.0,,187,27,1,0.198059,False
6.0,0.956773,3,1,5.0,500000.0,196,184,13,0,0.0,False
7.0,0.941474,2,1,5.0,500000.0,,203,17,1,0.289771,False
7.0,0.941474,3,1,5.0,500000.0,218,215,16,0,0.0,False
8.0,0.924024,2,1,5.0,500000.0,,194,16,3,0.966495,False
8.0,0.924024,3,1,5.0,500000.0,193,188,19,3,0.162094,False
9.0,0.904508,2,1,5.0,500000.0,,186,35,0,0.0,False
9.0,0.904508,3,1,5.0,500000.0,221,203,26,1,0.041872,False
10.0,0.883022,2,1,5.0,500000.0,,202,34,1,0.145603,False
10.0,0.883022,3,1,5.0,500000.0,217,195,27,2,0.082431,False
11.0,0.85967,2,1,5.0,500000.0,,202,45,2,0.220022,False
11.0,0.85967,3,1,5.0,500000.0,225,217,38,3,0.081858,False
12.0,0.834565,2,1,5.0,500000.0,,193,43,3,0.361489,False
12.0,0.834565,3,1,5.0,500000.0,211,183,36,0,0.0,False
13.0,0.807831,2,1,5.0,500000.0,,182,48,3,0.343407,False
13.0,0.807831,3,1,5.0,500000.0,200,166,47,2,0.051269,False
14.0,0.779596,2,1,5.0,500000.0,,181,54,0,0.0,False
14.0,0.779596,3,1,5.0,500000.0,220,193,55,2,0.041451,False
15.0,0.75,2,1,5.0,500000.0,,173,57,0,0.0,False
15.0,0.75,3,1,5.0,500000.0,225,163,58,2,0.047599,False
16.0,0.719186,2,1,5.0,500000.0,,160,63,2,0.198413,False
16.0,0.719186,3,1,5.0,500000.0,215,150,76,2,0.037719,False
17.0,0.687303,2,1,5.0,500000.0,,151,71,0,0.0,False
17.0,0.687303,3,1,5.0,500000.0,219,158,77,4,0.072004,False
18.0,0.654508,2,1,5.0,500000.0,,144,80,2,0.173611,False
18.0,0.654508,3,1,5.0,500000.0,241,154,97,2,0.032267,False
19.0,0.620961,2,1,5.0,500000.0,,146,98,4,0.279564,False
19.0,0.620961,3,1,5.0,500000.0,234,150,93,3,0.050323,False
20.0,0.586824,2,1,5.0,500000.0,,128,98,3,0.239158,False
20.0,0.586824,3,1,5.0,500000.0,217,141,79,1,0.019481,False
21.0,0.552264,2,1,5.0,500000.0,,125,107,2,0.149533,False
21.0,0.552264,3,1,5.0,500000.0,204,122,91,3,0.055125,False
22.0,0.51745,2,1,5.0,500000.0,,141,101,1,0.07022,False
22.0,0.51745,3,1,5.0,500000.0,205,132,91,1,0.017066,False
23.0,0.48255,2,1,5.0,500000.0,,112,118,3,0.226998,False
23.0,0.48255,3,1,5.0,500000.0,227,109,130,2,0.03204,False
24.0,0.447736,2,1,5.0,500000.0,,105,142,3,0.201207,False
24.0,0.447736,3,1,5.0,500000.0,212,88,122,3,0.05924,False
25.0,0.413176,2,1,5.0,500000.0,,104,130,2,0.147929,False
25.0,0.413176,3,1,5.0,500000.0,226,81,135,2,0.041335,False
26.0,0.379039,2,1,5.0,500000.0,,109,142,6,0.387647,False
26.0,0.379039,3,1,5.0,500000.0,222,93,149,2,0.032042,False
27.0,0.345492,2,1,5.0,500000.0,,86,145,4,0.32077,False
27.0,0.345492,3,1,5.0,500000.0,204,69,148,2,0.039953,False
28.0,0.312697,2,1,5.0,500000.0,,83,146,2,0.165044,False
28.0,0.312697,3,1,5.0,500000.0,205,67,135,1,0.022664,False
29.0,0.280814,2,1,5.0,500000.0,,67,161,1,0.092704,False
29.0,0.280814,3,1,5.0,500000.0,224,64,165,2,0.042424,False
30.0,0.25,2,1,5.0,500000.0,,54,183,1,0.101194,False
30.0,0.25,3,1,5.0,500000.0,229,62,160,2,0.046169,False
31.0,0.220404,2,1,5.0,500000.0,,60,167,0,0.0,False
31.0,0.220404,3,1,5.0,500000.0,230,55,181,1,0.023104,False
32.0,0.192169,2,1,5.0,500000.0,,43,166,1,0.140095,False
32.0,0.192169,3,1,5.0,500000.0,204,39,171,3,0.091768,False
33.0,0.165435,2,1,5.0,500000.0,,49,176,2,0.231911,False
33.0,0.165435,3,1,5.0,500000.0,226,45,189,0,0.0,False
34.0,0.14033,2,1,5.0,500000.0,,30,205,1,0.162602,False
34.0,0.14033,3,1,5.0,500000.0,225,39,196,2,0.05887,False
35.0,0.116978,2,1,5.0,500000.0,,29,196,1,0.175932,False
35.0,0.116978,3,1,5.0,500000.0,214,44,181,4,0.107484,False
36.0,0.095492,2,1,5.0,500000.0,,37,191,4,0.566011,False
36.0,0.095492,3,1,5.0,500000.0,227,31,207,1,0.035375,False
37.0,0.075976,2,1,5.0,500000.0,,13,205,1,0.375235,False
37.0,0.075976,3,1,5.0,500000.0,210,23,203,2,0.089955,False
38.0,0.058526,2,1,5.0,500000.0,,21,200,3,0.714286,False
38.0,0.058526,3,1,5.0,500000.0,219,20,206,2,0.106311,False
39.0,0.043227,2,1,5.0,500000.0,,24,185,3,0.675676,False
39.0,0.043227,3,1,5.0,500000.0,233,16,217,1,0.067108,False
40.0,0.030154,2,1,5.0,500000.0,,11,199,0,0.0,False
40.0,0.030154,3,1,5.0,500000.0,227,14,214,3,0.227303,False
41.0,0.019369,2,1,5.0,500000.0,,15,223,1,0.298954,False
41.0,0.019369,3,1,5.0,500000.0,212,15,207,2,0.136554,False
42.0,0.010926,2,1,5.0,500000.0,,2,209,0,0.0,False
42.0,0.010926,3,1,5.0,500000.0,222,7,217,3,0.438446,False
43.0,0.004866,2,1,5.0,500000.0,,6,209,1,0.797448,False
43.0,0.004866,3,1,5.0,500000.0,228,8,217,3,0.394009,False
44.0,0.001218,2,1,5.0,500000.0,,8,213,0,0.0,False
44.0,0.001218,3,1,5.0,500000.0,216,10,224,1,0.096429,False
45.0,0.0,2,1,5.0,500000.0,,7,227,2,1.258653,False
45.0,0.0,3,1,5.0,500000.0,224,10,241,4,0.371784,False
46.0,0.001218,2,1,5.0,500000.0,,6,214,1,0.778816,False
46.0,0.001218,3,1,5.0,500000.0,232,7,234,2,0.283272,False
47.0,0.004866,2,1,5.0,500000.0,,11,216,0,0.0,False
47.0,0.004866,3,1,5.0,500000.0,223,15,228,4,0.260819,False
48.0,0.010926,2,1,5.0,500000.0,,11,226,3,1.206758,False
48.0,0.010926,3,1,5.0,500000.0,208,11,213,2,0.17755,False
49.0,0.019369,2,1,5.0,500000.0,,10,232,1,0.431034,False
49.0,0.019369,3,1,5.0,500000.0,207,5,217,1,0.190783,False
50.0,0.030154,2,1,5.0,500000.0,,13,201,1,0.382702,False
50.0,0.030154,3,1,5.0,500000.0,225,16,218,3,0.193521,False
51.0,0.043227,2,1,5.0,500000.0,,13,212,0,0.0,False
51.0,0.043227,3,1,5.0,500000.0,231,16,218,1,0.066227,False
52.0,0.058526,2,1,5.0,500000.0,,18,213,2,0.521648,False
52.0,0.058526,3,1,5.0,500000.0,238,21,220,2,0.10303,False
53.0,0.075976,2,1,5.0,500000.0,,22,210,0,0.0,False
53.0,0.075976,3,1,5.0,500000.0,196,23,188,1,0.045328,False
54.0,0.095492,2,1,5.0,500000.0,,24,205,2,0.406504,False
54.0,0.095492,3,1,5.0,500000.0,209,19,198,0,0.0,False
55.0,0.116978,2,1,5.0,500000.0,,38,188,2,0.279955,False
55.0,0.116978,3,1,5.0,500000.0,204,31,180,2,0.073118,False
56.0,0.14033,2,1,5.0,500000.0,,42,184,1,0.1294,False
56.0,0.14033,3,1,5.0,500000.0,237,43,215,1,0.025635,False
57.0,0.165435,2,1,5.0,500000.0,,29,192,3,0.538793,False
57.0,0.165435,3,1,5.0,500000.0,194,44,161,3,0.082157,False
58.0,0.192169,2,1,5.0,500000.0,,47,184,3,0.346901,False
58.0,0.192169,3,1,5.0,500000.0,208,50,176,1,0.023636,False
59.0,0.220404,2,1,5.0,500000.0,,52,186,6,0.620347,False
59.0,0.220404,3,1,5.0,500000.0,224,65,168,2,0.041026,False
60.0,0.25,2,1,5.0,500000.0,,53,160,1,0.117925,False
60.0,0.25,3,1,5.0,500000.0,213,62,152,0,0.0,False
61.0,0.280814,2,1,5.0,500000.0,,75,167,1,0.07984,False
61.0,0.280814,3,1,5.0,500000.0,220,57,169,1,0.022838,False
62.0,0.312697,2,1,5.0,500000.0,,71,156,0,0.0,False
62.0,0.312697,3,1,5.0,500000.0,213,78,156,3,0.052515,False
63.0,0.345492,2,1,5.0,500000.0,,86,139,1,0.083654,False
63.0,0.345492,3,1,5.0,500000.0,224,79,151,2,0.037556,False
64.0,0.379039,2,1,5.0,500000.0,,92,133,2,0.163452,False
64.0,0.379039,3,1,5.0,500000.0,196,74,138,2,0.038386,False
65.0,0.413176,2,1,5.0,500000.0,,102,126,2,0.155618,False
65.0,0.413176,3,1,5.0,500000.0,210,94,116,2,0.038518,False
66.0,0.447736,2,1,5.0,500000.0,,123,110,1,0.07391,False
66.0,0.447736,3,1,5.0,500000.0,208,115,115,5,0.078639,False
67.0,0.48255,2,1,5.0,500000.0,,123,116,2,0.140174,False
67.0,0.48255,3,1,5.0,500000.0,220,105,131,2,0.031988,False
68.0,0.51745,2,1,5.0,500000.0,,116,112,3,0.230911,False
68.0,0.51745,3,1,5.0,500000.0,226,101,120,0,0.0,False
69.0,0.552264,2,1,5.0,500000.0,,118,104,1,0.081486,False
69.0,0.552264,3,1,5.0,500000.0,217,118,101,1,0.018208,False
70.0,0.586824,2,1,5.0,500000.0,,126,102,0,0.0,False
70.0,0.586824,3,1,5.0,500000.0,198,115,101,1,0.017047,False
71.0,0.620961,2,1,5.0,500000.0,,145,81,1,0.085143,False
71.0,0.620961,3,1,5.0,500000.0,194,122,82,3,0.058177,False
72.0,0.654508,2,1,5.0,500000.0,,146,74,1,0.092558,False
72.0,0.654508,3,1,5.0,500000.0,209,141,81,2,0.036599,False
73.0,0.687303,2,1,5.0,500000.0,,157,53,1,0.120178,False
73.0,0.687303,3,1,5.0,500000.0,224,146,83,1,0.018485,False
74.0,0.719186,2,1,5.0,500000.0,,153,84,3,0.233427,False
74.0,0.719186,3,1,5.0,500000.0,214,154,56,1,0.024814,False
75.0,0.75,2,1,5.0,500000.0,,165,59,0,0.0,False
75.0,0.75,3,1,5.0,500000.0,216,170,56,0,0.0,False
76.0,0.779596,2,1,5.0,500000.0,,171,62,1,0.094322,False
76.0,0.779596,3,1,5.0,500000.0,192,149,57,2,0.045214,False
77.0,0.807831,2,1,5.0,500000.0,,199,59,6,0.51103,False
77.0,0.807831,3,1,5.0,500000.0,230,185,50,1,0.024865,False
78.0,0.834565,2,1,5.0,500000.0,,158,50,3,0.379747,False
78.0,0.834565,3,1,5.0,500000.0,214,179,50,0,0.0,False
79.0,0.85967,2,1,5.0,500000.0,,193,39,1,0.132855,False
79.0,0.85967,3,1,5.0,500000.0,222,187,36,2,0.065954,False
80.0,0.883022,2,1,5.0,500000.0,,197,39,2,0.260315,False
80.0,0.883022,3,1,5.0,500000.0,208,192,40,4,0.108333,False
81.0,0.904508,2,1,5.0,500000.0,,204,30,0,0.0,False
81.0,0.904508,3,1,5.0,500000.0,224,193,35,2,0.066321,False
82.0,0.924024,2,1,5.0,500000.0,,207,29,0,0.0,False
82.0,0.924024,3,1,5.0,500000.0,215,203,29,4,0.146085,False
83.0,0.941474,2,1,5.0,500000.0,,202,19,1,0.260552,False
83.0,0.941474,3,1,5.0,500000.0,225,210,24,1,0.044643,False
84.0,0.956773,2,1,5.0,500000.0,,186,15,1,0.358423,False
84.0,0.956773,3,1,5.0,500000.0,192,185,11,0,0.0,False
85.0,0.969846,2,1,5.0,500000.0,,217,18,1,0.256016,False
85.0,0.969846,3,1,5.0,500000.0,232,236,12,0,0.0,False
86.0,0.980631,2,1,5.0,500000.0,,222,13,3,1.039501,False
86.0,0.980631,3,1,5.0,500000.0,213,205,9,0,0.0,False
87.0,0.989074,2,1,5.0,500000.0,,217,4,0,0.0,False
87.0,0.989074,3,1,5.0,500000.0,214,205,9,0,0.0,False
88.0,0.995134,2,1,5.0,500000.0,,220,6,1,0.757576,False
88.0,0.995134,3,1,5.0,500000.0,227,217,11,3,0.285295,False
89.0,0.998782,2,1,5.0,500000.0,,217,6,2,1.536098,False
89.0,0.998782,3,1,5.0,500000.0,226,234,11,2,0.175602,False
90.0,1.0,2,1,5.0,500000.0,,211,6,1,0.789889,False
90.0,1.0,3,1,5.0,500000.0,203,208,6,2,0.325321,False
91.0,0.998782,2,1,5.0,500000.0,,209,12,2,0.797448,False
91.0,0.998782,3,1,5.0,500000.0,210,224,10,3,0.28125,False
92.0,0.995134,2,1,5.0,500000.0,,212,8,3,1.768868,False
92.0,0.995134,3,1,5.0,500000.0,227,223,10,1,0.101794,False
93.0,0.989074,2,1,5.0,500000.0,,203,14,3,1.055595,False
93.0,0.989074,3,1,5.0,500000.0,212,207,12,1,0.085346,False
94.0,0.980631,2,1,5.0,500000.0,,207,19,2,0.508518,False
94.0,0.980631,3,1,5.0,500000.0,228,218,16,1,0.065367,False
95.0,0.969846,2,1,5.0,500000.0,,209,13,1,0.368053,False
95.0,0.969846,3,1,5.0,500000.0,224,219,11,1,0.092985,False
96.0,0.956773,2,1,5.0,500000.0,,217,20,1,0.230415,False
96.0,0.956773,3,1,5.0,500000.0,207,219,16,2,0.118151,False
97.0,0.941474,2,1,5.0,500000.0,,213,15,2,0.625978,False
97.0,0.941474,3,1,5.0,500000.0,206,204,19,2,0.106295,False
98.0,0.924024,2,1,5.0,500000.0,,221,31,6,0.875785,False
98.0,0.924024,3,1,5.0,500000.0,223,211,24,1,0.044036,False
99.0,0.904508,2,1,5.0,500000.0,,213,21,2,0.447127,False
99.0,0.904508,3,1,5.0,500000.0,205,189,27,0,0.0,False
100.0,0.883022,2,1,5.0,500000.0,,179,30,3,0.558659,False
100.0,0.883022,3,1,5.0,500000.0,215,195,36,0,0.0,False
101.0,0.85967,2,1,5.0,500000.0,,159,31,1,0.202881,False
101.0,0.85967,3,1,5.0,500000.0,213,177,45,4,0.106968,False
102.0,0.834565,2,1,5.0,500000.0,,176,41,2,0.277162,False
102.0,0.834565,3,1,5.0,500000.0,228,189,46,2,0.05245,False
103.0,0.807831,2,1,5.0,500000.0,,192,36,1,0.144676,False
103.0,0.807831,3,1,5.0,500000.0,212,172,43,1,0.028664,False
104.0,0.779596,2,1,5.0,500000.0,,180,55,2,0.20202,False
104.0,0.779596,3,1,5.0,500000.0,232,184,53,1,0.02379,False
105.0,0.75,2,1,5.0,500000.0,,174,52,2,0.221043,False
105.0,0.75,3,1,5.0,500000.0,214,163,45,2,0.05835,False
106.0,0.719186,2,1,5.0,500000.0,,145,78,3,0.265252,False
106.0,0.719186,3,1,5.0,500000.0,208,147,70,1,0.020214,False
107.0,0.687303,2,1,5.0,500000.0,,181,70,1,0.078927,False
107.0,0.687303,3,1,5.0,500000.0,247,173,58,1,0.024616,False
108.0,0.654508,2,1,5.0,500000.0,,152,79,2,0.166556,False
108.0,0.654508,3,1,5.0,500000.0,209,151,73,1,0.01896,False
109.0,0.620961,2,1,5.0,500000.0,,152,83,2,0.158529,False
109.0,0.620961,3,1,5.0,500000.0,219,135,96,3,0.050694,False
110.0,0.586824,2,1,5.0,500000.0,,150,89,5,0.374532,False
110.0,0.586824,3,1,5.0,500000.0,206,133,97,1,0.015968,False
111.0,0.552264,2,1,5.0,500000.0,,119,109,0,0.0,False
111.0,0.552264,3,1,5.0,500000.0,232,142,93,0,0.0,False
112.0,0.51745,2,1,5.0,500000.0,,114,126,3,0.208855,False
112.0,0.51745,3,1,5.0,500000.0,246,126,124,3,0.047235,False
113.0,0.48255,2,1,5.0,500000.0,,108,142,1,0.065206,False
113.0,0.48255,3,1,5.0,500000.0,198,91,106,3,0.06158,False
114.0,0.447736,2,1,5.0,500000.0,,102,150,2,0.130719,False
114.0,0.447736,3,1,5.0,500000.0,201,95,115,3,0.055195,False
115.0,0.413176,2,1,5.0,500000.0,,109,124,4,0.295946,False
115.0,0.413176,3,1,5.0,500000.0,233,78,151,1,0.019783,False
116.0,0.379039,2,1,5.0,500000.0,,110,125,2,0.145455,False
116.0,0.379039,3,1,5.0,500000.0,229,81,164,3,0.051716,False
117.0,0.345492,2,1,5.0,500000.0,,66,144,2,0.210438,False
117.0,0.345492,3,1,5.0,500000.0,225,78,156,3,0.055473,False
118.0,0.312697,2,1,5.0,500000.0,,69,161,2,0.180034,False
118.0,0.312697,3,1,5.0,500000.0,221,85,146,4,0.071233,False
119.0,0.280814,2,1,5.0,500000.0,,66,143,2,0.211909,False
119.0,0.280814,3,1,5.0,500000.0,209,65,153,0,0.0,False
120.0,0.25,2,1,5.0,500000.0,,62,167,2,0.193162,False
120.0,0.25,3,1,5.0,500000.0,235,83,158,3,0.053759,False
121.0,0.220404,2,1,5.0,500000.0,,51,165,2,0.237671,False
121.0,0.220404,3,1,5.0,500000.0,229,42,167,0,0.0,False
122.0,0.192169,2,1,5.0,500000.0,,46,181,1,0.120106,False
122.0,0.192169,3,1,5.0,500000.0,199,37,175,2,0.061467,False
123.0,0.165435,2,1,5.0,500000.0,,46,184,1,0.118147,False
123.0,0.165435,3,1,5.0,500000.0,223,51,186,3,0.070525,False
124.0,0.14033,2,1,5.0,500000.0,,39,191,5,0.671231,False
124.0,0.14033,3,1,5.0,500000.0,221,36,188,2,0.065307,False
125.0,0.116978,2,1,5.0,500000.0,,42,202,2,0.235738,False
125.0,0.116978,3,1,5.0,500000.0,215,26,190,0,0.0,False
126.0,0.095492,2,1,5.0,500000.0,,28,211,3,0.507786,False
126.0,0.095492,3,1,5.0,500000.0,228,25,210,1,0.043429,False
127.0,0.075976,2,1,5.0,500000.0,,27,199,2,0.372232,False
127.0,0.075976,3,1,5.0,500000.0,245,29,209,3,0.121267,False
128.0,0.058526,2,1,5.0,500000.0,,19,215,0,0.0,False
128.0,0.058526,3,1,5.0,500000.0,231,21,222,1,0.04955,False
129.0,0.043227,2,1,5.0,500000.0,,15,209,1,0.318979,False
