Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,880,8,7,0.994318,False
0.0,1.0,3,1,5.0,500000.0,210,219,7,3,0.410959,False
1.0,0.998782,2,1,5.0,500000.0,,844,9,8,1.053186,False
1.0,0.998782,3,1,5.0,500000.0,201,203,9,1,0.110016,False
2.0,0.995134,2,1,5.0,500000.0,,827,15,12,0.967352,False
2.0,0.995134,3,1,5.0,500000.0,225,212,10,2,0.212264,False
3.0,0.989074,2,1,5.0,500000.0,,842,14,11,0.933152,False
3.0,0.989074,3,1,5.0,500000.0,206,215,7,0,0.0,False
4.0,0.980631,2,1,5.0,500000.0,,836,21,20,1.139212,False
4.0,0.980631,3,1,5.0,500000.0,206,205,18,3,0.16748,False
5.0,0.969846,2,1,5.0,500000.0,,820,26,21,0.984991,False
5.0,0.969846,3,1,5.0,500000.0,189,195,13,2,0.149112,False
6.0,0.956773,2,1,5.0,500000.0,,819,46,40,1.06174,False
6.0,0.956773,3,1,5.0,500000.0,195,191,15,4,0.272251,False
7.0,0.941474,2,1,5.0,500000.0,,782,52,42,1.032855,False
7.0,0.941474,3,1,5.0,500000.0,221,206,22,2,0.097529,False
8.0,0.924024,2,1,5.0,500000.0,,781,72,54,0.960307,False
8.0,0.924024,3,1,5.0,500000.0,218,198,14,0,0.0,False
9.0,0.904508,2,1,5.0,500000.0,,778,70,57,1.04664,False
9.0,0.904508,3,1,5.0,500000.0,216,199,29,0,0.0,False
10.0,0.883022,2,1,5.0,500000.0,,745,99,72,0.976205,False
10.0,0.883022,3,1,5.0,500000.0,212,182,26,3,0.134404,False
11.0,0.85967,2,1,5.0,500000.0,,736,132,101,1.039608,False
11.0,0.85967,3,1,5.0,500000.0,217,181,44,1,0.027248,False
12.0,0.834565,2,1,5.0,500000.0,,685,140,107,1.115746,False
12.0,0.834565,3,1,5.0,500000.0,211,201,40,0,0.0,False
13.0,0.807831,2,1,5.0,500000.0,,680,160,120,1.102941,False
13.0,0.807831,3,1,5.0,500000.0,205,161,44,2,0.057877,False
14.0,0.779596,2,1,5.0,500000.0,,669,219,145,0.989687,False
14.0,0.779596,3,1,5.0,500000.0,218,159,55,2,0.049857,False
15.0,0.75,2,1,5.0,500000.0,,642,211,137,1.011354,False
15.0,0.75,3,1,5.0,500000.0,226,163,60,1,0.023108,False
16.0,0.719186,2,1,5.0,500000.0,,630,232,166,1.135742,False
16.0,0.719186,3,1,5.0,500000.0,228,158,79,1,0.018266,False
17.0,0.687303,2,1,5.0,500000.0,,618,279,178,1.032351,False
17.0,0.687303,3,1,5.0,500000.0,220,159,76,2,0.036412,False
18.0,0.654508,2,1,5.0,500000.0,,539,313,170,1.007664,False
18.0,0.654508,3,1,5.0,500000.0,231,145,91,2,0.035013,False
19.0,0.620961,2,1,5.0,500000.0,,532,368,202,1.031791,False
19.0,0.620961,3,1,5.0,500000.0,233,155,86,2,0.034959,False
20.0,0.586824,2,1,5.0,500000.0,,513,374,189,0.985083,False
20.0,0.586824,3,1,5.0,500000.0,212,134,92,2,0.034393,False
21.0,0.552264,2,1,5.0,500000.0,,492,399,196,0.998431,False
21.0,0.552264,3,1,5.0,500000.0,215,134,114,1,0.014074,False
22.0,0.51745,2,1,5.0,500000.0,,425,462,194,0.988032,False
22.0,0.51745,3,1,5.0,500000.0,231,120,109,1,0.017661,False
23.0,0.48255,2,1,5.0,500000.0,,400,447,168,0.939597,False
23.0,0.48255,3,1,5.0,500000.0,216,92,125,3,0.056348,False
24.0,0.447736,2,1,5.0,500000.0,,381,483,191,1.037914,False
24.0,0.447736,3,1,5.0,500000.0,206,99,123,0,0.0,False
25.0,0.413176,2,1,5.0,500000.0,,355,496,182,1.033621,False
25.0,0.413176,3,1,5.0,500000.0,229,93,147,3,0.050252,False
26.0,0.379039,2,1,5.0,500000.0,,341,575,200,1.020018,False
26.0,0.379039,3,1,5.0,500000.0,221,87,144,2,0.035281,False
27.0,0.345492,2,1,5.0,500000.0,,285,562,159,0.992695,False
27.0,0.345492,3,1,5.0,500000.0,203,81,138,1,0.018161,False
28.0,0.312697,2,1,5.0,500000.0,,279,583,153,0.94063,False
28.0,0.312697,3,1,5.0,500000.0,220,76,135,2,0.042885,False
29.0,0.280814,2,1,5.0,500000.0,,265,600,147,0.924528,False
29.0,0.280814,3,1,5.0,500000.0,219,78,139,1,0.020199,False
30.0,0.25,2,1,5.0,500000.0,,196,612,118,0.983727,False
30.0,0.25,3,1,5.0,500000.0,240,73,172,3,0.057343,False
31.0,0.220404,2,1,5.0,500000.0,,194,660,133,1.038738,False
31.0,0.220404,3,1,5.0,500000.0,234,66,181,3,0.058764,False
32.0,0.192169,2,1,5.0,500000.0,,178,677,122,1.012398,False
32.0,0.192169,3,1,5.0,500000.0,210,50,182,2,0.046154,False
33.0,0.165435,2,1,5.0,500000.0,,153,696,114,1.070543,False
33.0,0.165435,3,1,5.0,500000.0,214,36,201,3,0.088723,False
34.0,0.14033,2,1,5.0,500000.0,,125,709,93,1.049365,False
34.0,0.14033,3,1,5.0,500000.0,219,41,165,2,0.064745,False
35.0,0.116978,2,1,5.0,500000.0,,121,748,89,0.983338,False
35.0,0.116978,3,1,5.0,500000.0,228,36,200,2,0.063333,False
36.0,0.095492,2,1,5.0,500000.0,,89,774,75,1.088755,False
36.0,0.095492,3,1,5.0,500000.0,199,31,180,1,0.035663,False
37.0,0.075976,2,1,5.0,500000.0,,71,786,55,0.985557,False
37.0,0.075976,3,1,5.0,500000.0,206,23,196,2,0.091393,False
38.0,0.058526,2,1,5.0,500000.0,,53,810,44,1.024924,False
38.0,0.058526,3,1,5.0,500000.0,239,13,230,0,0.0,False
39.0,0.043227,2,1,5.0,500000.0,,47,833,37,0.945059,False
39.0,0.043227,3,1,5.0,500000.0,219,17,228,2,0.113003,False
40.0,0.030154,2,1,5.0,500000.0,,34,811,26,0.942917,False
40.0,0.030154,3,1,5.0,500000.0,232,15,232,1,0.066667,False
41.0,0.019369,2,1,5.0,500000.0,,27,826,23,1.031298,False
41.0,0.019369,3,1,5.0,500000.0,223,15,228,4,0.260819,False
42.0,0.010926,2,1,5.0,500000.0,,15,856,14,1.090343,False
42.0,0.010926,3,1,5.0,500000.0,232,13,228,0,0.0,False
43.0,0.004866,2,1,5.0,500000.0,,12,842,9,0.890736,False
