Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,226,5,1,0.884956,False
0.0,1.0,3,1,5.0,500000.0,228,238,10,3,0.287395,False
1.0,0.998782,2,1,5.0,500000.0,,227,12,3,1.101322,False
1.0,0.998782,3,1,5.0,500000.0,223,209,5,2,0.426794,False
2.0,0.995134,2,1,5.0,500000.0,,218,12,4,1.529052,False
2.0,0.995134,3,1,5.0,500000.0,222,225,2,0,0.0,False
3.0,0.989074,2,1,5.0,500000.0,,203,12,1,0.410509,False
3.0,0.989074,3,1,5.0,500000.0,221,224,8,2,0.246652,False
4.0,0.980631,2,1,5.0,500000.0,,209,17,2,0.562905,False
4.0,0.980631,3,1,5.0,500000.0,215,200,11,1,0.097727,False
5.0,0.969846,2,1,5.0,500000.0,,201,15,2,0.66335,False
5.0,0.969846,3,1,5.0,500000.0,214,204,11,1,0.095365,False
6.0,0.956773,2,1,5.0,500000.0,,222,11,2,0.819001,False
6.0,0.956773,3,1,5.0,500000.0,221,220,18,0,0.0,False
7.0,0.941474,2,1,5.0,500000.0,,227,19,2,0.463714,False
7.0,0.941474,3,1,5.0,500000.0,230,208,18,3,0.184295,False
8.0,0.924024,2,1,5.0,500000.0,,192,27,2,0.385802,False
8.0,0.924024,3,1,5.0,500000.0,215,197,21,0,0.0,False
9.0,0.904508,2,1,5.0,500000.0,,194,29,1,0.177746,False
9.0,0.904508,3,1,5.0,500000.0,209,192,27,0,0.0,False
10.0,0.883022,2,1,5.0,500000.0,,186,35,1,0.15361,False
10.0,0.883022,3,1,5.0,500000.0,224,188,45,1,0.026478,False
11.0,0.85967,2,1,5.0,500000.0,,190,44,0,0.0,False
11.0,0.85967,3,1,5.0,500000.0,238,200,31,5,0.191935,False
12.0,0.834565,2,1,5.0,500000.0,,170,52,3,0.339367,False
12.0,0.834565,3,1,5.0,500000.0,243,191,36,2,0.070681,False
