Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,233,4,0,0.0,False
0.0,1.0,3,1,5.0,500000.0,227,228,11,2,0.181021,False
1.0,0.998782,2,1,5.0,500000.0,,206,8,0,0.0,False
1.0,0.998782,3,1,5.0,500000.0,229,226,4,0,0.0,False
2.0,0.995134,2,1,5.0,500000.0,,207,7,1,0.690131,False
2.0,0.995134,3,1,5.0,500000.0,220,215,10,4,0.409302,False
3.0,0.989074,2,1,5.0,500000.0,,220,11,0,0.0,False
3.0,0.989074,3,1,5.0,500000.0,219,216,10,2,0.202778,False
4.0,0.980631,2,1,5.0,500000.0,,204,11,0,0.0,False
4.0,0.980631,3,1,5.0,500000.0,220,211,12,1,0.086888,False
5.0,0.969846,2,1,5.0,500000.0,,191,11,0,0.0,False
5.0,0.969846,3,1,5.0,500000.0,215,208,13,0,0.0,False
6.0,0.956773,2,1,5.0,500000.0,,210,21,0,0.0,False
6.0,0.956773,3,1,5.0,500000.0,221,206,9,2,0.238403,False
7.0,0.941474,2,1,5.0,500000.0,,218,15,2,0.611621,False
7.0,0.941474,3,1,5.0,500000.0,234,223,20,1,0.052466,False
8.0,0.924024,2,1,5.0,500000.0,,215,17,1,0.273598,False
8.0,0.924024,3,1,5.0,500000.0,209,199,34,4,0.123559,False
9.0,0.904508,2,1,5.0,500000.0,,209,38,5,0.629564,False
9.0,0.904508,3,1,5.0,500000.0,198,182,24,2,0.090659,False
10.0,0.883022,2,1,5.0,500000.0,,206,34,7,0.999429,False
10.0,0.883022,3,1,5.0,500000.0,217,206,30,1,0.035113,False
11.0,0.85967,2,1,5.0,500000.0,,199,49,3,0.307661,False
11.0,0.85967,3,1,5.0,500000.0,230,211,41,2,0.053173,False
12.0,0.834565,2,1,5.0,500000.0,,170,54,3,0.326797,False
12.0,0.834565,3,1,5.0,500000.0,230,193,57,3,0.062722,False
13.0,0.807831,2,1,5.0,500000.0,,180,42,1,0.132275,False
13.0,0.807831,3,1,5.0,500000.0,231,183,42,1,0.030055,False
14.0,0.779596,2,1,5.0,500000.0,,161,47,1,0.132153,False
14.0,0.779596,3,1,5.0,500000.0,227,183,40,2,0.062022,False
15.0,0.75,2,1,5.0,500000.0,,160,49,0,0.0,False
15.0,0.75,3,1,5.0,500000.0,209,163,54,2,0.047489,False
16.0,0.719186,2,1,5.0,500000.0,,160,66,1,0.094697,False
16.0,0.719186,3,1,5.0,500000.0,226,156,70,1,0.020696,False
17.0,0.687303,2,1,5.0,500000.0,,160,65,4,0.384615,False
17.0,0.687303,3,1,5.0,500000.0,218,135,93,3,0.052091,False
18.0,0.654508,2,1,5.0,500000.0,,146,66,0,0.0,False
18.0,0.654508,3,1,5.0,500000.0,214,140,81,1,0.018871,False
19.0,0.620961,2,1,5.0,500000.0,,136,82,3,0.26901,False
19.0,0.620961,3,1,5.0,500000.0,226,138,103,5,0.079499,False
20.0,0.586824,2,1,5.0,500000.0,,135,96,3,0.231481,False
20.0,0.586824,3,1,5.0,500000.0,207,113,102,0,0.0,False
21.0,0.552264,2,1,5.0,500000.0,,136,106,5,0.346837,False
21.0,0.552264,3,1,5.0,500000.0,222,114,117,2,0.033288,False
22.0,0.51745,2,1,5.0,500000.0,,128,109,2,0.143349,False
22.0,0.51745,3,1,5.0,500000.0,261,149,117,2,0.029943,False
23.0,0.48255,2,1,5.0,500000.0,,110,125,2,0.145455,False
23.0,0.48255,3,1,5.0,500000.0,196,88,105,2,0.042424,False
24.0,0.447736,2,1,5.0,500000.0,,95,117,0,0.0,False
24.0,0.447736,3,1,5.0,500000.0,220,109,118,1,0.017105,False
25.0,0.413176,2,1,5.0,500000.0,,109,139,2,0.132004,False
25.0,0.413176,3,1,5.0,500000.0,212,95,129,3,0.051897,False
26.0,0.379039,2,1,5.0,500000.0,,82,154,2,0.158378,False
26.0,0.379039,3,1,5.0,500000.0,216,78,141,0,0.0,False
27.0,0.345492,2,1,5.0,500000.0,,87,147,4,0.312769,False
27.0,0.345492,3,1,5.0,500000.0,230,104,141,3,0.047054,False
28.0,0.312697,2,1,5.0,500000.0,,77,151,2,0.172013,False
28.0,0.312697,3,1,5.0,500000.0,222,62,161,2,0.04448,False
29.0,0.280814,2,1,5.0,500000.0,,66,158,2,0.191791,False
29.0,0.280814,3,1,5.0,500000.0,209,83,153,2,0.032916,False
30.0,0.25,2,1,5.0,500000.0,,51,149,0,0.0,False
30.0,0.25,3,1,5.0,500000.0,221,57,173,3,0.067235,False
31.0,0.220404,2,1,5.0,500000.0,,63,159,3,0.299491,False
31.0,0.220404,3,1,5.0,500000.0,196,48,145,3,0.084483,False
32.0,0.192169,2,1,5.0,500000.0,,55,159,3,0.343053,False
32.0,0.192169,3,1,5.0,500000.0,222,50,172,0,0.0,False
33.0,0.165435,2,1,5.0,500000.0,,43,188,1,0.123701,False
33.0,0.165435,3,1,5.0,500000.0,214,43,171,0,0.0,False
34.0,0.14033,2,1,5.0,500000.0,,37,188,2,0.287522,False
34.0,0.14033,3,1,5.0,500000.0,204,31,168,0,0.0,False
35.0,0.116978,2,1,5.0,500000.0,,33,187,2,0.324097,False
35.0,0.116978,3,1,5.0,500000.0,207,36,191,4,0.120419,False
36.0,0.095492,2,1,5.0,500000.0,,33,188,0,0.0,False
36.0,0.095492,3,1,5.0,500000.0,206,26,176,0,0.0,False
37.0,0.075976,2,1,5.0,500000.0,,20,224,3,0.669643,False
37.0,0.075976,3,1,5.0,500000.0,222,24,197,2,0.093909,False
38.0,0.058526,2,1,5.0,500000.0,,27,239,4,0.619867,False
38.0,0.058526,3,1,5.0,500000.0,226,18,210,3,0.179365,False
39.0,0.043227,2,1,5.0,500000.0,,13,213,1,0.361141,False
39.0,0.043227,3,1,5.0,500000.0,208,16,214,2,0.121495,False
40.0,0.030154,2,1,5.0,500000.0,,9,221,1,0.502765,False
40.0,0.030154,3,1,5.0,500000.0,210,20,199,4,0.211055,False
41.0,0.019369,2,1,5.0,500000.0,,13,228,1,0.337382,False
41.0,0.019369,3,1,5.0,500000.0,223,16,218,2,0.127867,False
42.0,0.010926,2,1,5.0,500000.0,,10,190,2,1.052632,False
42.0,0.010926,3,1,5.0,500000.0,233,9,228,1,0.113548,False
43.0,0.004866,2,1,5.0,500000.0,,15,233,4,1.144492,False
43.0,0.004866,3,1,5.0,500000.0,232,6,227,1,0.170338,False
44.0,0.001218,2,1,5.0,500000.0,,12,233,4,1.430615,False
44.0,0.001218,3,1,5.0,500000.0,223,9,231,5,0.536316,False
45.0,0.0,2,1,5.0,500000.0,,11,218,4,1.668057,False
45.0,0.0,3,1,5.0,500000.0,208,7,208,3,0.428571,False
46.0,0.001218,2,1,5.0,500000.0,,13,214,4,1.437815,False
46.0,0.001218,3,1,5.0,500000.0,236,10,225,3,0.314667,False
47.0,0.004866,2,1,5.0,500000.0,,14,212,2,0.673854,False
47.0,0.004866,3,1,5.0,500000.0,233,9,227,0,0.0,False
48.0,0.010926,2,1,5.0,500000.0,,9,225,0,0.0,False
48.0,0.010926,3,1,5.0,500000.0,218,13,221,2,0.151758,False
49.0,0.019369,2,1,5.0,500000.0,,11,243,5,1.870557,False
49.0,0.019369,3,1,5.0,500000.0,206,10,205,3,0.301463,False
50.0,0.030154,2,1,5.0,500000.0,,13,196,0,0.0,False
50.0,0.030154,3,1,5.0,500000.0,210,15,215,4,0.260465,False
51.0,0.043227,2,1,5.0,500000.0,,20,167,0,0.0,False
51.0,0.043227,3,1,5.0,500000.0,206,11,195,0,0.0,False
52.0,0.058526,2,1,5.0,500000.0,,21,197,4,0.966884,False
52.0,0.058526,3,1,5.0,500000.0,216,19,202,0,0.0,False
53.0,0.075976,2,1,5.0,500000.0,,21,195,1,0.2442,False
53.0,0.075976,3,1,5.0,500000.0,206,27,186,0,0.0,False
54.0,0.095492,2,1,5.0,500000.0,,34,227,1,0.129567,False
54.0,0.095492,3,1,5.0,500000.0,203,29,200,0,0.0,False
55.0,0.116978,2,1,5.0,500000.0,,27,181,0,0.0,False
55.0,0.116978,3,1,5.0,500000.0,253,31,224,3,0.109303,False
56.0,0.14033,2,1,5.0,500000.0,,42,195,2,0.2442,False
56.0,0.14033,3,1,5.0,500000.0,198,32,185,4,0.133784,False
57.0,0.165435,2,1,5.0,500000.0,,43,179,1,0.129921,False
57.0,0.165435,3,1,5.0,500000.0,206,39,178,2,0.059349,False
58.0,0.192169,2,1,5.0,500000.0,,52,184,2,0.20903,False
58.0,0.192169,3,1,5.0,500000.0,214,42,185,2,0.055084,False
59.0,0.220404,2,1,5.0,500000.0,,52,188,1,0.102291,False
59.0,0.220404,3,1,5.0,500000.0,210,56,165,1,0.022727,False
60.0,0.25,2,1,5.0,500000.0,,52,182,0,0.0,False
60.0,0.25,3,1,5.0,500000.0,214,50,163,3,0.078773,False
61.0,0.280814,2,1,5.0,500000.0,,66,152,1,0.099681,False
61.0,0.280814,3,1,5.0,500000.0,234,84,153,4,0.072829,False
62.0,0.312697,2,1,5.0,500000.0,,88,157,3,0.21714,False
62.0,0.312697,3,1,5.0,500000.0,249,78,173,2,0.036905,False
63.0,0.345492,2,1,5.0,500000.0,,79,138,0,0.0,False
63.0,0.345492,3,1,5.0,500000.0,227,92,133,1,0.018552,False
64.0,0.379039,2,1,5.0,500000.0,,93,143,3,0.225581,False
64.0,0.379039,3,1,5.0,500000.0,227,95,148,5,0.080725,False
65.0,0.413176,2,1,5.0,500000.0,,109,140,1,0.065531,False
65.0,0.413176,3,1,5.0,500000.0,210,95,132,1,0.016746,False
66.0,0.447736,2,1,5.0,500000.0,,96,127,4,0.328084,False
66.0,0.447736,3,1,5.0,500000.0,185,99,107,1,0.017464,False
67.0,0.48255,2,1,5.0,500000.0,,92,116,2,0.187406,False
67.0,0.48255,3,1,5.0,500000.0,225,106,123,2,0.034514,False
68.0,0.51745,2,1,5.0,500000.0,,119,137,4,0.245354,False
68.0,0.51745,3,1,5.0,500000.0,218,123,104,2,0.034084,False
69.0,0.552264,2,1,5.0,500000.0,,138,104,5,0.348384,False
69.0,0.552264,3,1,5.0,500000.0,201,108,101,0,0.0,False
70.0,0.586824,2,1,5.0,500000.0,,139,81,3,0.266454,False
70.0,0.586824,3,1,5.0,500000.0,222,130,106,2,0.032221,False
71.0,0.620961,2,1,5.0,500000.0,,145,90,4,0.306513,False
71.0,0.620961,3,1,5.0,500000.0,249,157,93,0,0.0,False
72.0,0.654508,2,1,5.0,500000.0,,146,75,1,0.091324,False
72.0,0.654508,3,1,5.0,500000.0,221,145,75,1,0.020322,False
73.0,0.687303,2,1,5.0,500000.0,,164,78,5,0.390869,False
73.0,0.687303,3,1,5.0,500000.0,216,160,65,4,0.083077,False
74.0,0.719186,2,1,5.0,500000.0,,138,84,1,0.086266,False
74.0,0.719186,3,1,5.0,500000.0,225,164,73,5,0.093969,False
75.0,0.75,2,1,5.0,500000.0,,185,67,1,0.080678,False
75.0,0.75,3,1,5.0,500000.0,234,186,53,1,0.023737,False
76.0,0.779596,2,1,5.0,500000.0,,164,56,2,0.21777,False
76.0,0.779596,3,1,5.0,500000.0,201,162,48,2,0.051698,False
77.0,0.807831,2,1,5.0,500000.0,,191,55,1,0.095193,False
77.0,0.807831,3,1,5.0,500000.0,229,189,45,2,0.053851,False
78.0,0.834565,2,1,5.0,500000.0,,175,36,1,0.15873,False
78.0,0.834565,3,1,5.0,500000.0,213,185,33,1,0.034889,False
79.0,0.85967,2,1,5.0,500000.0,,170,47,2,0.250313,False
79.0,0.85967,3,1,5.0,500000.0,224,203,37,3,0.089469,False
80.0,0.883022,2,1,5.0,500000.0,,187,23,4,0.930016,False
80.0,0.883022,3,1,5.0,500000.0,241,196,41,1,0.02999,False
81.0,0.904508,2,1,5.0,500000.0,,209,26,1,0.184026,False
81.0,0.904508,3,1,5.0,500000.0,197,187,27,1,0.039018,False
82.0,0.924024,2,1,5.0,500000.0,,194,23,1,0.224115,False
82.0,0.924024,3,1,5.0,500000.0,235,211,19,2,0.117236,False
83.0,0.941474,2,1,5.0,500000.0,,230,21,1,0.207039,False
83.0,0.941474,3,1,5.0,500000.0,227,199,21,2,0.108638,False
84.0,0.956773,2,1,5.0,500000.0,,202,18,2,0.550055,False
84.0,0.956773,3,1,5.0,500000.0,250,233,17,0,0.0,False
85.0,0.969846,2,1,5.0,500000.0,,187,12,1,0.445633,False
85.0,0.969846,3,1,5.0,500000.0,234,221,19,1,0.055728,False
86.0,0.980631,2,1,5.0,500000.0,,197,11,0,0.0,False
86.0,0.980631,3,1,5.0,500000.0,208,190,9,1,0.121637,False
87.0,0.989074,2,1,5.0,500000.0,,225,8,1,0.555556,False
87.0,0.989074,3,1,5.0,500000.0,240,248,4,1,0.241935,False
88.0,0.995134,2,1,5.0,500000.0,,215,18,4,1.033592,False
88.0,0.995134,3,1,5.0,500000.0,220,230,9,5,0.531401,False
89.0,0.998782,2,1,5.0,500000.0,,237,6,1,0.703235,False
89.0,0.998782,3,1,5.0,500000.0,244,231,4,0,0.0,False
90.0,1.0,2,1,5.0,500000.0,,203,6,1,0.821018,False
90.0,1.0,3,1,5.0,500000.0,213,212,13,3,0.231858,False
91.0,0.998782,2,1,5.0,500000.0,,202,8,1,0.618812,False
91.0,0.998782,3,1,5.0,500000.0,216,227,7,1,0.135935,False
92.0,0.995134,2,1,5.0,500000.0,,203,12,4,1.642036,False
92.0,0.995134,3,1,5.0,500000.0,240,247,12,1,0.080972,False
93.0,0.989074,2,1,5.0,500000.0,,213,10,2,0.938967,False
93.0,0.989074,3,1,5.0,500000.0,204,210,10,1,0.097143,False
94.0,0.980631,2,1,5.0,500000.0,,208,6,2,1.602564,False
94.0,0.980631,3,1,5.0,500000.0,211,212,16,2,0.12441,False
95.0,0.969846,2,1,5.0,500000.0,,210,17,2,0.560224,False
95.0,0.969846,3,1,5.0,500000.0,223,226,12,0,0.0,False
96.0,0.956773,2,1,5.0,500000.0,,221,19,1,0.238152,False
96.0,0.956773,3,1,5.0,500000.0,209,203,20,1,0.051478,False
97.0,0.941474,2,1,5.0,500000.0,,205,15,2,0.650407,False
97.0,0.941474,3,1,5.0,500000.0,206,203,14,2,0.144968,False
98.0,0.924024,2,1,5.0,500000.0,,200,21,1,0.238095,False
98.0,0.924024,3,1,5.0,500000.0,224,213,30,4,0.140219,False
99.0,0.904508,2,1,5.0,500000.0,,202,32,1,0.154703,False
