Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,232,10,3,1.293103,False
0.0,1.0,3,1,5.0,500000.0,202,207,9,3,0.325282,False
1.0,0.998782,2,1,5.0,500000.0,,237,8,0,0.0,False
1.0,0.998782,3,1,5.0,500000.0,219,227,10,2,0.192952,False
2.0,0.995134,2,1,5.0,500000.0,,217,5,2,1.843318,False
2.0,0.995134,3,1,5.0,500000.0,208,199,3,1,0.348409,False
3.0,0.989074,2,1,5.0,500000.0,,218,11,2,0.834028,False
3.0,0.989074,3,1,5.0,500000.0,208,199,15,2,0.139363,False
4.0,0.980631,2,1,5.0,500000.0,,220,17,1,0.26738,False
4.0,0.980631,3,1,5.0,500000.0,224,231,15,4,0.258586,False
5.0,0.969846,2,1,5.0,500000.0,,202,19,3,0.781657,False
5.0,0.969846,3,1,5.0,500000.0,196,212,17,4,0.217536,False
6.0,0.956773,2,1,5.0,500000.0,,221,22,2,0.411353,False
6.0,0.956773,3,1,5.0,500000.0,211,205,18,3,0.171545,False
7.0,0.941474,2,1,5.0,500000.0,,221,20,2,0.452489,False
7.0,0.941474,3,1,5.0,500000.0,231,207,18,1,0.061997,False
8.0,0.924024,2,1,5.0,500000.0,,198,30,2,0.3367,False
8.0,0.924024,3,1,5.0,500000.0,202,182,22,0,0.0,False
9.0,0.904508,2,1,5.0,500000.0,,215,27,2,0.344531,False
9.0,0.904508,3,1,5.0,500000.0,225,203,30,2,0.073892,False
10.0,0.883022,2,1,5.0,500000.0,,191,24,1,0.21815,False
10.0,0.883022,3,1,5.0,500000.0,224,202,35,1,0.031683,False
11.0,0.85967,2,1,5.0,500000.0,,210,27,2,0.352734,False
11.0,0.85967,3,1,5.0,500000.0,227,214,33,6,0.192863,False
12.0,0.834565,2,1,5.0,500000.0,,190,42,1,0.125313,False
12.0,0.834565,3,1,5.0,500000.0,188,160,41,0,0.0,False
13.0,0.807831,2,1,5.0,500000.0,,177,46,2,0.24564,False
13.0,0.807831,3,1,5.0,500000.0,200,160,48,1,0.026042,False
14.0,0.779596,2,1,5.0,500000.0,,166,57,0,0.0,False
14.0,0.779596,3,1,5.0,500000.0,206,166,43,0,0.0,False
15.0,0.75,2,1,5.0,500000.0,,184,71,1,0.076546,False
15.0,0.75,3,1,5.0,500000.0,228,165,67,0,0.0,False
16.0,0.719186,2,1,5.0,500000.0,,145,61,1,0.113058,False
16.0,0.719186,3,1,5.0,500000.0,216,171,69,0,0.0,False
17.0,0.687303,2,1,5.0,500000.0,,167,81,0,0.0,False
17.0,0.687303,3,1,5.0,500000.0,210,158,69,4,0.07705,False
18.0,0.654508,2,1,5.0,500000.0,,139,98,1,0.073411,False
18.0,0.654508,3,1,5.0,500000.0,193,135,78,1,0.018329,False
19.0,0.620961,2,1,5.0,500000.0,,148,73,2,0.185117,False
19.0,0.620961,3,1,5.0,500000.0,221,141,93,2,0.033707,False
20.0,0.586824,2,1,5.0,500000.0,,138,101,2,0.143493,False
20.0,0.586824,3,1,5.0,500000.0,224,131,98,1,0.017448,False
21.0,0.552264,2,1,5.0,500000.0,,112,95,0,0.0,False
21.0,0.552264,3,1,5.0,500000.0,226,130,109,0,0.0,False
22.0,0.51745,2,1,5.0,500000.0,,114,114,3,0.23084,False
22.0,0.51745,3,1,5.0,500000.0,238,124,114,1,0.016836,False
23.0,0.48255,2,1,5.0,500000.0,,114,121,1,0.072495,False
23.0,0.48255,3,1,5.0,500000.0,230,112,132,0,0.0,False
24.0,0.447736,2,1,5.0,500000.0,,119,137,5,0.306692,False
24.0,0.447736,3,1,5.0,500000.0,216,90,136,2,0.035294,False
25.0,0.413176,2,1,5.0,500000.0,,93,141,0,0.0,False
25.0,0.413176,3,1,5.0,500000.0,234,86,142,2,0.038323,False
26.0,0.379039,2,1,5.0,500000.0,,68,147,3,0.30012,False
26.0,0.379039,3,1,5.0,500000.0,202,87,121,1,0.019189,False
27.0,0.345492,2,1,5.0,500000.0,,75,173,3,0.231214,False
27.0,0.345492,3,1,5.0,500000.0,243,83,163,4,0.071846,False
28.0,0.312697,2,1,5.0,500000.0,,73,149,1,0.091937,False
28.0,0.312697,3,1,5.0,500000.0,226,68,157,3,0.063507,False
29.0,0.280814,2,1,5.0,500000.0,,60,155,1,0.107527,False
29.0,0.280814,3,1,5.0,500000.0,222,70,165,0,0.0,False
30.0,0.25,2,1,5.0,500000.0,,59,171,3,0.297354,False
30.0,0.25,3,1,5.0,500000.0,232,65,171,0,0.0,False
31.0,0.220404,2,1,5.0,500000.0,,54,153,1,0.121036,False
31.0,0.220404,3,1,5.0,500000.0,221,58,180,3,0.063506,False
32.0,0.192169,2,1,5.0,500000.0,,46,161,2,0.270051,False
32.0,0.192169,3,1,5.0,500000.0,197,43,163,1,0.028107,False
33.0,0.165435,2,1,5.0,500000.0,,26,203,0,0.0,False
33.0,0.165435,3,1,5.0,500000.0,203,37,173,4,0.126855,False
34.0,0.14033,2,1,5.0,500000.0,,43,197,0,0.0,False
34.0,0.14033,3,1,5.0,500000.0,233,49,190,1,0.025027,False
35.0,0.116978,2,1,5.0,500000.0,,32,196,5,0.797194,False
35.0,0.116978,3,1,5.0,500000.0,204,33,179,3,0.103606,False
36.0,0.095492,2,1,5.0,500000.0,,23,203,0,0.0,False
36.0,0.095492,3,1,5.0,500000.0,209,33,177,0,0.0,False
37.0,0.075976,2,1,5.0,500000.0,,20,157,1,0.318471,False
37.0,0.075976,3,1,5.0,500000.0,208,23,190,2,0.095195,False
38.0,0.058526,2,1,5.0,500000.0,,21,220,3,0.649351,False
38.0,0.058526,3,1,5.0,500000.0,206,19,201,1,0.053941,False
39.0,0.043227,2,1,5.0,500000.0,,16,205,2,0.609756,False
39.0,0.043227,3,1,5.0,500000.0,218,15,209,0,0.0,False
40.0,0.030154,2,1,5.0,500000.0,,10,200,1,0.5,False
40.0,0.030154,3,1,5.0,500000.0,236,9,244,3,0.322404,False
41.0,0.019369,2,1,5.0,500000.0,,14,214,1,0.333778,False
41.0,0.019369,3,1,5.0,500000.0,226,12,211,3,0.267773,False
42.0,0.010926,2,1,5.0,500000.0,,7,216,1,0.661376,False
42.0,0.010926,3,1,5.0,500000.0,229,13,225,7,0.548034,False
43.0,0.004866,2,1,5.0,500000.0,,11,189,0,0.0,False
43.0,0.004866,3,1,5.0,500000.0,223,11,203,1,0.099866,False
44.0,0.001218,2,1,5.0,500000.0,,7,204,1,0.70028,False
44.0,0.001218,3,1,5.0,500000.0,209,7,217,1,0.137591,False
45.0,0.0,2,1,5.0,500000.0,,10,230,1,0.434783,False
45.0,0.0,3,1,5.0,500000.0,200,8,217,1,0.115207,False
