Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,225,3,1,1.481481,False
0.0,1.0,3,1,5.0,500000.0,219,204,9,2,0.238562,False
1.0,0.998782,2,1,5.0,500000.0,,221,10,0,0.0,False
1.0,0.998782,3,1,5.0,500000.0,224,228,7,1,0.140351,False
2.0,0.995134,2,1,5.0,500000.0,,219,6,0,0.0,False
2.0,0.995134,3,1,5.0,500000.0,211,204,13,1,0.079563,False
3.0,0.989074,2,1,5.0,500000.0,,224,8,0,0.0,False
3.0,0.989074,3,1,5.0,500000.0,208,210,9,1,0.110053,False
4.0,0.980631,2,1,5.0,500000.0,,216,11,0,0.0,False
4.0,0.980631,3,1,5.0,500000.0,212,216,18,1,0.054527,False
5.0,0.969846,2,1,5.0,500000.0,,200,10,1,0.5,False
5.0,0.969846,3,1,5.0,500000.0,216,203,18,3,0.17734,False
6.0,0.956773,2,1,5.0,500000.0,,222,16,2,0.563063,False
6.0,0.956773,3,1,5.0,500000.0,208,205,17,0,0.0,False
7.0,0.941474,2,1,5.0,500000.0,,210,18,1,0.26455,False
7.0,0.941474,3,1,5.0,500000.0,207,190,20,0,0.0,False
8.0,0.924024,2,1,5.0,500000.0,,203,28,1,0.175932,False
8.0,0.924024,3,1,5.0,500000.0,244,210,24,2,0.096825,False
9.0,0.904508,2,1,5.0,500000.0,,196,23,0,0.0,False
9.0,0.904508,3,1,5.0,500000.0,226,192,35,0,0.0,False
10.0,0.883022,2,1,5.0,500000.0,,195,34,3,0.452489,False
10.0,0.883022,3,1,5.0,500000.0,256,226,36,1,0.031465,False
11.0,0.85967,2,1,5.0,500000.0,,195,41,1,0.125078,False
11.0,0.85967,3,1,5.0,500000.0,223,200,39,2,0.057179,False
12.0,0.834565,2,1,5.0,500000.0,,180,40,1,0.138889,False
12.0,0.834565,3,1,5.0,500000.0,213,188,34,1,0.033323,False
13.0,0.807831,2,1,5.0,500000.0,,192,46,3,0.339674,False
13.0,0.807831,3,1,5.0,500000.0,233,188,36,2,0.068853,False
14.0,0.779596,2,1,5.0,500000.0,,168,52,1,0.114469,False
14.0,0.779596,3,1,5.0,500000.0,232,188,51,2,0.048394,False
15.0,0.75,2,1,5.0,500000.0,,166,70,2,0.172117,False
15.0,0.75,3,1,5.0,500000.0,234,178,55,1,0.023902,False
16.0,0.719186,2,1,5.0,500000.0,,158,62,2,0.204165,False
16.0,0.719186,3,1,5.0,500000.0,234,147,70,3,0.068222,False
17.0,0.687303,2,1,5.0,500000.0,,159,60,2,0.209644,False
17.0,0.687303,3,1,5.0,500000.0,219,158,71,1,0.019522,False
18.0,0.654508,2,1,5.0,500000.0,,132,93,3,0.244379,False
18.0,0.654508,3,1,5.0,500000.0,220,137,80,2,0.040146,False
19.0,0.620961,2,1,5.0,500000.0,,137,82,1,0.089015,False
19.0,0.620961,3,1,5.0,500000.0,237,166,81,1,0.017626,False
20.0,0.586824,2,1,5.0,500000.0,,114,94,1,0.093318,False
20.0,0.586824,3,1,5.0,500000.0,224,137,99,3,0.049547,False
21.0,0.552264,2,1,5.0,500000.0,,123,99,2,0.164244,False
21.0,0.552264,3,1,5.0,500000.0,201,111,100,3,0.054324,False
22.0,0.51745,2,1,5.0,500000.0,,117,110,2,0.1554,False
22.0,0.51745,3,1,5.0,500000.0,205,98,117,4,0.071516,False
23.0,0.48255,2,1,5.0,500000.0,,106,107,2,0.176336,False
23.0,0.48255,3,1,5.0,500000.0,210,117,105,3,0.051282,False
24.0,0.447736,2,1,5.0,500000.0,,123,120,4,0.271003,False
24.0,0.447736,3,1,5.0,500000.0,204,95,118,1,0.018198,False
25.0,0.413176,2,1,5.0,500000.0,,99,118,3,0.256805,False
25.0,0.413176,3,1,5.0,500000.0,245,92,145,1,0.018366,False
26.0,0.379039,2,1,5.0,500000.0,,84,126,3,0.283447,False
26.0,0.379039,3,1,5.0,500000.0,215,88,133,1,0.01837,False
27.0,0.345492,2,1,5.0,500000.0,,90,153,3,0.217865,False
27.0,0.345492,3,1,5.0,500000.0,231,82,158,1,0.01783,False
28.0,0.312697,2,1,5.0,500000.0,,74,150,1,0.09009,False
28.0,0.312697,3,1,5.0,500000.0,242,72,189,1,0.017784,False
29.0,0.280814,2,1,5.0,500000.0,,75,150,2,0.177778,False
29.0,0.280814,3,1,5.0,500000.0,217,57,175,2,0.043509,False
30.0,0.25,2,1,5.0,500000.0,,77,161,2,0.161329,False
30.0,0.25,3,1,5.0,500000.0,234,58,187,1,0.021575,False
31.0,0.220404,2,1,5.0,500000.0,,47,185,0,0.0,False
31.0,0.220404,3,1,5.0,500000.0,205,41,178,3,0.08427,False
32.0,0.192169,2,1,5.0,500000.0,,52,192,1,0.10016,False
32.0,0.192169,3,1,5.0,500000.0,220,39,193,4,0.116912,False
33.0,0.165435,2,1,5.0,500000.0,,44,196,2,0.231911,False
33.0,0.165435,3,1,5.0,500000.0,207,54,167,1,0.022954,False
