Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,231,8,2,1.082251,False
0.0,1.0,3,1,5.0,500000.0,211,207,3,2,0.679549,False
1.0,0.998782,2,1,5.0,500000.0,,213,8,3,1.760563,False
1.0,0.998782,3,1,5.0,500000.0,209,215,4,1,0.243023,False
2.0,0.995134,2,1,5.0,500000.0,,232,8,1,0.538793,False
2.0,0.995134,3,1,5.0,500000.0,225,228,8,3,0.370066,False
3.0,0.989074,2,1,5.0,500000.0,,223,12,2,0.747384,False
3.0,0.989074,3,1,5.0,500000.0,236,229,14,4,0.294448,False
4.0,0.980631,2,1,5.0,500000.0,,194,8,1,0.64433,False
4.0,0.980631,3,1,5.0,500000.0,243,240,14,3,0.216964,False
5.0,0.969846,2,1,5.0,500000.0,,204,9,1,0.544662,False
5.0,0.969846,3,1,5.0,500000.0,219,204,13,2,0.165158,False
6.0,0.956773,2,1,5.0,500000.0,,221,16,1,0.282805,False
6.0,0.956773,3,1,5.0,500000.0,202,193,20,3,0.156995,False
7.0,0.941474,2,1,5.0,500000.0,,215,20,1,0.232558,False
7.0,0.941474,3,1,5.0,500000.0,201,198,27,4,0.150393,False
8.0,0.924024,2,1,5.0,500000.0,,190,20,1,0.263158,False
8.0,0.924024,3,1,5.0,500000.0,206,206,19,2,0.105263,False
9.0,0.904508,2,1,5.0,500000.0,,197,32,3,0.475888,False
9.0,0.904508,3,1,5.0,500000.0,196,176,23,3,0.145257,False
10.0,0.883022,2,1,5.0,500000.0,,204,32,2,0.306373,False
10.0,0.883022,3,1,5.0,500000.0,215,204,35,1,0.030112,False
11.0,0.85967,2,1,5.0,500000.0,,180,48,4,0.462963,False
11.0,0.85967,3,1,5.0,500000.0,227,188,42,2,0.057497,False
12.0,0.834565,2,1,5.0,500000.0,,209,40,2,0.239234,False
12.0,0.834565,3,1,5.0,500000.0,212,180,38,2,0.061988,False
13.0,0.807831,2,1,5.0,500000.0,,190,54,2,0.194932,False
13.0,0.807831,3,1,5.0,500000.0,229,188,57,3,0.06411,False
14.0,0.779596,2,1,5.0,500000.0,,183,48,2,0.227687,False
14.0,0.779596,3,1,5.0,500000.0,237,192,62,2,0.039819,False
15.0,0.75,2,1,5.0,500000.0,,171,59,0,0.0,False
15.0,0.75,3,1,5.0,500000.0,217,152,61,1,0.023404,False
16.0,0.719186,2,1,5.0,500000.0,,143,67,2,0.208746,False
16.0,0.719186,3,1,5.0,500000.0,216,162,59,3,0.067797,False
17.0,0.687303,2,1,5.0,500000.0,,161,76,2,0.163452,False
17.0,0.687303,3,1,5.0,500000.0,212,150,74,3,0.057297,False
18.0,0.654508,2,1,5.0,500000.0,,144,79,2,0.175809,False
18.0,0.654508,3,1,5.0,500000.0,224,141,86,1,0.018473,False
19.0,0.620961,2,1,5.0,500000.0,,124,72,2,0.224014,False
19.0,0.620961,3,1,5.0,500000.0,243,139,93,0,0.0,False
20.0,0.586824,2,1,5.0,500000.0,,121,98,1,0.084331,False
20.0,0.586824,3,1,5.0,500000.0,217,134,101,2,0.032067,False
21.0,0.552264,2,1,5.0,500000.0,,140,123,2,0.116144,False
21.0,0.552264,3,1,5.0,500000.0,232,149,103,2,0.030234,False
22.0,0.51745,2,1,5.0,500000.0,,112,105,1,0.085034,False
22.0,0.51745,3,1,5.0,500000.0,215,102,108,1,0.019517,False
23.0,0.48255,2,1,5.0,500000.0,,108,102,1,0.090777,False
23.0,0.48255,3,1,5.0,500000.0,227,104,128,2,0.034105,False
24.0,0.447736,2,1,5.0,500000.0,,95,98,4,0.429646,False
24.0,0.447736,3,1,5.0,500000.0,224,102,122,1,0.018001,False
25.0,0.413176,2,1,5.0,500000.0,,92,140,0,0.0,False
25.0,0.413176,3,1,5.0,500000.0,195,90,113,3,0.057522,False
26.0,0.379039,2,1,5.0,500000.0,,93,133,1,0.080847,False
26.0,0.379039,3,1,5.0,500000.0,193,69,146,1,0.019158,False
27.0,0.345492,2,1,5.0,500000.0,,88,151,3,0.225768,False
27.0,0.345492,3,1,5.0,500000.0,234,89,150,2,0.035056,False
28.0,0.312697,2,1,5.0,500000.0,,69,143,4,0.405392,False
28.0,0.312697,3,1,5.0,500000.0,221,65,161,1,0.021118,False
29.0,0.280814,2,1,5.0,500000.0,,61,146,1,0.112284,False
29.0,0.280814,3,1,5.0,500000.0,211,59,167,3,0.064244,False
30.0,0.25,2,1,5.0,500000.0,,80,162,5,0.385802,False
30.0,0.25,3,1,5.0,500000.0,199,55,157,1,0.023046,False
31.0,0.220404,2,1,5.0,500000.0,,44,182,2,0.24975,False
31.0,0.220404,3,1,5.0,500000.0,215,60,153,1,0.02342,False
32.0,0.192169,2,1,5.0,500000.0,,55,170,3,0.320856,False
32.0,0.192169,3,1,5.0,500000.0,217,52,179,2,0.046627,False
33.0,0.165435,2,1,5.0,500000.0,,53,177,1,0.106598,False
33.0,0.165435,3,1,5.0,500000.0,232,47,193,4,0.102304,False
34.0,0.14033,2,1,5.0,500000.0,,49,184,5,0.55457,False
34.0,0.14033,3,1,5.0,500000.0,217,33,204,0,0.0,False
35.0,0.116978,2,1,5.0,500000.0,,34,202,1,0.145603,False
35.0,0.116978,3,1,5.0,500000.0,215,32,188,2,0.071476,False
36.0,0.095492,2,1,5.0,500000.0,,34,212,1,0.138735,False
36.0,0.095492,3,1,5.0,500000.0,214,19,196,1,0.057465,False
37.0,0.075976,2,1,5.0,500000.0,,21,201,2,0.473821,False
37.0,0.075976,3,1,5.0,500000.0,215,28,201,2,0.076404,False
38.0,0.058526,2,1,5.0,500000.0,,19,207,1,0.254259,False
38.0,0.058526,3,1,5.0,500000.0,200,15,194,2,0.137457,False
39.0,0.043227,2,1,5.0,500000.0,,15,233,0,0.0,False
39.0,0.043227,3,1,5.0,500000.0,196,18,182,3,0.179487,False
40.0,0.030154,2,1,5.0,500000.0,,11,217,0,0.0,False
40.0,0.030154,3,1,5.0,500000.0,218,20,212,5,0.257075,False
41.0,0.019369,2,1,5.0,500000.0,,9,228,1,0.487329,False
41.0,0.019369,3,1,5.0,500000.0,242,16,235,4,0.257447,False
42.0,0.010926,2,1,5.0,500000.0,,13,236,1,0.325945,False
