Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,215,8,3,1.744186,False
0.0,1.0,3,1,5.0,500000.0,220,218,12,5,0.420489,False
1.0,0.998782,2,1,5.0,500000.0,,223,6,3,2.242152,False
1.0,0.998782,3,1,5.0,500000.0,222,218,7,0,0.0,False
2.0,0.995134,2,1,5.0,500000.0,,208,10,4,1.923077,False
2.0,0.995134,3,1,5.0,500000.0,219,214,13,4,0.314881,False
3.0,0.989074,2,1,5.0,500000.0,,219,8,0,0.0,False
3.0,0.989074,3,1,5.0,500000.0,210,225,12,5,0.388889,False
4.0,0.980631,2,1,5.0,500000.0,,201,11,1,0.452284,False
4.0,0.980631,3,1,5.0,500000.0,218,194,13,1,0.086439,False
5.0,0.969846,2,1,5.0,500000.0,,209,16,1,0.299043,False
5.0,0.969846,3,1,5.0,500000.0,217,220,13,1,0.075874,False
6.0,0.956773,2,1,5.0,500000.0,,186,14,1,0.384025,False
6.0,0.956773,3,1,5.0,500000.0,212,187,24,4,0.188948,False
7.0,0.941474,2,1,5.0,500000.0,,209,21,0,0.0,False
7.0,0.941474,3,1,5.0,500000.0,229,225,27,4,0.150782,False
8.0,0.924024,2,1,5.0,500000.0,,197,22,3,0.692201,False
8.0,0.924024,3,1,5.0,500000.0,213,195,24,4,0.182051,False
9.0,0.904508,2,1,5.0,500000.0,,190,27,0,0.0,False
9.0,0.904508,3,1,5.0,500000.0,210,192,30,3,0.109375,False
10.0,0.883022,2,1,5.0,500000.0,,190,32,0,0.0,False
10.0,0.883022,3,1,5.0,500000.0,238,210,37,1,0.030631,False
11.0,0.85967,2,1,5.0,500000.0,,197,45,2,0.225606,False
11.0,0.85967,3,1,5.0,500000.0,208,192,40,2,0.054167,False
12.0,0.834565,2,1,5.0,500000.0,,195,60,3,0.25641,False
12.0,0.834565,3,1,5.0,500000.0,238,202,41,2,0.057474,False
13.0,0.807831,2,1,5.0,500000.0,,165,38,2,0.318979,False
13.0,0.807831,3,1,5.0,500000.0,235,188,50,1,0.025,False
14.0,0.779596,2,1,5.0,500000.0,,169,47,3,0.377691,False
14.0,0.779596,3,1,5.0,500000.0,218,159,71,1,0.019311,False
15.0,0.75,2,1,5.0,500000.0,,164,57,3,0.320924,False
15.0,0.75,3,1,5.0,500000.0,217,154,60,0,0.0,False
16.0,0.719186,2,1,5.0,500000.0,,166,53,2,0.227324,False
16.0,0.719186,3,1,5.0,500000.0,216,168,53,0,0.0,False
17.0,0.687303,2,1,5.0,500000.0,,161,75,4,0.331263,False
