Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,232,8,3,1.616379,False
0.0,1.0,3,1,5.0,500000.0,210,214,7,2,0.280374,False
1.0,0.998782,2,1,5.0,500000.0,,227,15,2,0.587372,False
1.0,0.998782,3,1,5.0,500000.0,201,192,4,0,0.0,False
2.0,0.995134,2,1,5.0,500000.0,,202,11,1,0.450045,False
2.0,0.995134,3,1,5.0,500000.0,212,215,6,2,0.328682,False
3.0,0.989074,2,1,5.0,500000.0,,211,6,0,0.0,False
3.0,0.989074,3,1,5.0,500000.0,242,228,16,2,0.132675,False
4.0,0.980631,2,1,5.0,500000.0,,232,9,4,1.915709,False
4.0,0.980631,3,1,5.0,500000.0,225,221,9,0,0.0,False
5.0,0.969846,2,1,5.0,500000.0,,221,15,1,0.301659,False
5.0,0.969846,3,1,5.0,500000.0,214,222,17,2,0.113408,False
6.0,0.956773,2,1,5.0,500000.0,,219,16,3,0.856164,False
6.0,0.956773,3,1,5.0,500000.0,198,199,14,0,0.0,False
7.0,0.941474,2,1,5.0,500000.0,,212,22,1,0.214408,False
7.0,0.941474,3,1,5.0,500000.0,216,211,17,2,0.120435,False
8.0,0.924024,2,1,5.0,500000.0,,209,36,2,0.265816,False
8.0,0.924024,3,1,5.0,500000.0,228,207,26,2,0.084727,False
9.0,0.904508,2,1,5.0,500000.0,,180,18,1,0.308642,False
9.0,0.904508,3,1,5.0,500000.0,209,191,33,4,0.132635,False
10.0,0.883022,2,1,5.0,500000.0,,197,31,0,0.0,False
10.0,0.883022,3,1,5.0,500000.0,208,187,32,0,0.0,False
11.0,0.85967,2,1,5.0,500000.0,,172,44,4,0.528541,False
11.0,0.85967,3,1,5.0,500000.0,201,185,47,1,0.023117,False
12.0,0.834565,2,1,5.0,500000.0,,186,50,0,0.0,False
12.0,0.834565,3,1,5.0,500000.0,202,177,39,0,0.0,False
13.0,0.807831,2,1,5.0,500000.0,,173,47,1,0.122986,False
13.0,0.807831,3,1,5.0,500000.0,242,189,68,4,0.075319,False
14.0,0.779596,2,1,5.0,500000.0,,190,68,1,0.077399,False
14.0,0.779596,3,1,5.0,500000.0,211,165,48,3,0.079924,False
15.0,0.75,2,1,5.0,500000.0,,154,62,3,0.314202,False
15.0,0.75,3,1,5.0,500000.0,219,162,79,3,0.051336,False
16.0,0.719186,2,1,5.0,500000.0,,175,65,1,0.087912,False
16.0,0.719186,3,1,5.0,500000.0,211,149,75,3,0.056644,False
17.0,0.687303,2,1,5.0,500000.0,,159,79,0,0.0,False
17.0,0.687303,3,1,5.0,500000.0,223,160,70,1,0.019911,False
18.0,0.654508,2,1,5.0,500000.0,,156,70,2,0.18315,False
18.0,0.654508,3,1,5.0,500000.0,227,148,89,2,0.034467,False
19.0,0.620961,2,1,5.0,500000.0,,124,93,0,0.0,False
19.0,0.620961,3,1,5.0,500000.0,196,110,76,0,0.0,False
20.0,0.586824,2,1,5.0,500000.0,,131,86,1,0.088763,False
20.0,0.586824,3,1,5.0,500000.0,209,125,94,2,0.035574,False
21.0,0.552264,2,1,5.0,500000.0,,142,99,4,0.284535,False
21.0,0.552264,3,1,5.0,500000.0,219,118,102,1,0.018195,False
22.0,0.51745,2,1,5.0,500000.0,,112,130,2,0.137363,False
22.0,0.51745,3,1,5.0,500000.0,225,107,112,1,0.018775,False
23.0,0.48255,2,1,5.0,500000.0,,118,128,2,0.132415,False
23.0,0.48255,3,1,5.0,500000.0,246,111,129,0,0.0,False
24.0,0.447736,2,1,5.0,500000.0,,91,117,2,0.187846,False
24.0,0.447736,3,1,5.0,500000.0,206,99,116,0,0.0,False
25.0,0.413176,2,1,5.0,500000.0,,111,128,5,0.351914,False
25.0,0.413176,3,1,5.0,500000.0,232,104,138,0,0.0,False
26.0,0.379039,2,1,5.0,500000.0,,91,156,0,0.0,False
26.0,0.379039,3,1,5.0,500000.0,219,84,157,4,0.066424,False
