Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,205,15,2,0.650407,False
0.0,1.0,3,1,5.0,500000.0,220,218,6,0,0.0,False
1.0,0.998782,2,1,5.0,500000.0,,241,8,4,2.074689,False
1.0,0.998782,3,1,5.0,500000.0,224,228,7,2,0.280702,False
2.0,0.995134,2,1,5.0,500000.0,,214,14,2,0.667557,False
2.0,0.995134,3,1,5.0,500000.0,225,216,10,2,0.208333,False
3.0,0.989074,2,1,5.0,500000.0,,208,11,2,0.874126,False
3.0,0.989074,3,1,5.0,500000.0,216,228,17,5,0.278638,False
4.0,0.980631,2,1,5.0,500000.0,,211,7,2,1.354096,False
4.0,0.980631,3,1,5.0,500000.0,215,222,13,5,0.372488,False
5.0,0.969846,2,1,5.0,500000.0,,208,15,2,0.641026,False
5.0,0.969846,3,1,5.0,500000.0,209,201,8,1,0.129975,False
6.0,0.956773,2,1,5.0,500000.0,,214,14,1,0.333778,False
6.0,0.956773,3,1,5.0,500000.0,235,211,19,2,0.117236,False
7.0,0.941474,2,1,5.0,500000.0,,218,19,0,0.0,False
7.0,0.941474,3,1,5.0,500000.0,219,205,23,2,0.092895,False
8.0,0.924024,2,1,5.0,500000.0,,193,25,0,0.0,False
8.0,0.924024,3,1,5.0,500000.0,207,205,16,3,0.189329,False
9.0,0.904508,2,1,5.0,500000.0,,219,26,3,0.52687,False
9.0,0.904508,3,1,5.0,500000.0,218,195,28,2,0.079853,False
10.0,0.883022,2,1,5.0,500000.0,,206,35,5,0.693481,False
10.0,0.883022,3,1,5.0,500000.0,214,184,33,2,0.070487,False
11.0,0.85967,2,1,5.0,500000.0,,198,44,4,0.459137,False
11.0,0.85967,3,1,5.0,500000.0,220,194,49,6,0.13886,False
12.0,0.834565,2,1,5.0,500000.0,,173,49,5,0.589831,False
12.0,0.834565,3,1,5.0,500000.0,216,174,42,2,0.059113,False
13.0,0.807831,2,1,5.0,500000.0,,185,47,2,0.230017,False
13.0,0.807831,3,1,5.0,500000.0,229,185,55,0,0.0,False
14.0,0.779596,2,1,5.0,500000.0,,202,52,3,0.285605,False
14.0,0.779596,3,1,5.0,500000.0,206,169,52,3,0.070323,False
15.0,0.75,2,1,5.0,500000.0,,177,65,2,0.173837,False
15.0,0.75,3,1,5.0,500000.0,229,190,55,1,0.021914,False
16.0,0.719186,2,1,5.0,500000.0,,158,70,2,0.180832,False
16.0,0.719186,3,1,5.0,500000.0,206,148,56,2,0.04971,False
17.0,0.687303,2,1,5.0,500000.0,,157,73,1,0.087252,False
17.0,0.687303,3,1,5.0,500000.0,207,147,68,0,0.0,False
18.0,0.654508,2,1,5.0,500000.0,,134,71,3,0.315325,False
18.0,0.654508,3,1,5.0,500000.0,210,130,77,2,0.041958,False
19.0,0.620961,2,1,5.0,500000.0,,167,96,2,0.12475,False
19.0,0.620961,3,1,5.0,500000.0,189,105,77,1,0.023377,False
20.0,0.586824,2,1,5.0,500000.0,,142,92,2,0.153092,False
20.0,0.586824,3,1,5.0,500000.0,219,146,84,2,0.035714,False
21.0,0.552264,2,1,5.0,500000.0,,121,111,1,0.074455,False
21.0,0.552264,3,1,5.0,500000.0,232,111,121,2,0.034547,False
22.0,0.51745,2,1,5.0,500000.0,,126,100,2,0.15873,False
22.0,0.51745,3,1,5.0,500000.0,208,127,94,3,0.05227,False
23.0,0.48255,2,1,5.0,500000.0,,110,120,2,0.151515,False
23.0,0.48255,3,1,5.0,500000.0,208,115,109,1,0.016594,False
24.0,0.447736,2,1,5.0,500000.0,,97,111,0,0.0,False
24.0,0.447736,3,1,5.0,500000.0,207,97,122,1,0.017492,False
25.0,0.413176,2,1,5.0,500000.0,,96,143,2,0.145688,False
25.0,0.413176,3,1,5.0,500000.0,218,98,123,1,0.018085,False
26.0,0.379039,2,1,5.0,500000.0,,88,135,1,0.084175,False
26.0,0.379039,3,1,5.0,500000.0,222,104,135,1,0.015812,False
27.0,0.345492,2,1,5.0,500000.0,,84,147,2,0.16197,False
27.0,0.345492,3,1,5.0,500000.0,215,77,134,1,0.020837,False
28.0,0.312697,2,1,5.0,500000.0,,78,138,3,0.278707,False
28.0,0.312697,3,1,5.0,500000.0,221,63,153,0,0.0,False
29.0,0.280814,2,1,5.0,500000.0,,64,180,3,0.260417,False
29.0,0.280814,3,1,5.0,500000.0,215,73,152,2,0.038753,False
30.0,0.25,2,1,5.0,500000.0,,61,153,1,0.107147,False
30.0,0.25,3,1,5.0,500000.0,207,57,157,1,0.023131,False
31.0,0.220404,2,1,5.0,500000.0,,61,189,4,0.346951,False
31.0,0.220404,3,1,5.0,500000.0,201,43,173,0,0.0,False
32.0,0.192169,2,1,5.0,500000.0,,44,181,2,0.25113,False
32.0,0.192169,3,1,5.0,500000.0,226,50,171,1,0.026433,False
33.0,0.165435,2,1,5.0,500000.0,,51,193,0,0.0,False
33.0,0.165435,3,1,5.0,500000.0,225,50,186,5,0.120968,False
34.0,0.14033,2,1,5.0,500000.0,,37,173,3,0.468677,False
34.0,0.14033,3,1,5.0,500000.0,209,40,179,4,0.11676,False
35.0,0.116978,2,1,5.0,500000.0,,35,212,5,0.673854,False
35.0,0.116978,3,1,5.0,500000.0,228,36,227,5,0.139501,False
36.0,0.095492,2,1,5.0,500000.0,,37,194,3,0.417944,False
36.0,0.095492,3,1,5.0,500000.0,214,46,193,1,0.024105,False
37.0,0.075976,2,1,5.0,500000.0,,23,220,4,0.790514,False
37.0,0.075976,3,1,5.0,500000.0,220,33,199,3,0.100503,False
38.0,0.058526,2,1,5.0,500000.0,,14,198,0,0.0,False
38.0,0.058526,3,1,5.0,500000.0,236,21,230,2,0.097723,False
39.0,0.043227,2,1,5.0,500000.0,,11,205,2,0.886918,False
39.0,0.043227,3,1,5.0,500000.0,234,21,221,3,0.151261,False
40.0,0.030154,2,1,5.0,500000.0,,12,200,3,1.25,False
40.0,0.030154,3,1,5.0,500000.0,215,13,210,1,0.078755,False
41.0,0.019369,2,1,5.0,500000.0,,11,232,1,0.39185,False
41.0,0.019369,3,1,5.0,500000.0,210,11,192,1,0.099432,False
42.0,0.010926,2,1,5.0,500000.0,,17,193,1,0.304785,False
42.0,0.010926,3,1,5.0,500000.0,196,12,203,7,0.563218,False
43.0,0.004866,2,1,5.0,500000.0,,8,226,2,1.106195,False
43.0,0.004866,3,1,5.0,500000.0,228,7,221,1,0.147382,False
44.0,0.001218,2,1,5.0,500000.0,,10,217,2,0.921659,False
44.0,0.001218,3,1,5.0,500000.0,205,6,198,1,0.172559,False
45.0,0.0,2,1,5.0,500000.0,,6,220,0,0.0,False
45.0,0.0,3,1,5.0,500000.0,236,7,236,3,0.428571,False
46.0,0.001218,2,1,5.0,500000.0,,8,208,0,0.0,False
46.0,0.001218,3,1,5.0,500000.0,204,7,211,1,0.138118,False
47.0,0.004866,2,1,5.0,500000.0,,10,207,1,0.483092,False
47.0,0.004866,3,1,5.0,500000.0,209,8,210,1,0.124405,False
48.0,0.010926,2,1,5.0,500000.0,,10,241,3,1.244813,False
48.0,0.010926,3,1,5.0,500000.0,204,8,204,1,0.125,False
49.0,0.019369,2,1,5.0,500000.0,,23,200,4,0.869565,False
49.0,0.019369,3,1,5.0,500000.0,219,10,219,2,0.2,False
50.0,0.030154,2,1,5.0,500000.0,,14,224,0,0.0,False
50.0,0.030154,3,1,5.0,500000.0,229,10,233,4,0.393133,False
51.0,0.043227,2,1,5.0,500000.0,,17,194,2,0.606428,False
51.0,0.043227,3,1,5.0,500000.0,217,17,210,4,0.243137,False
52.0,0.058526,2,1,5.0,500000.0,,16,200,0,0.0,False
52.0,0.058526,3,1,5.0,500000.0,218,14,196,1,0.079446,False
53.0,0.075976,2,1,5.0,500000.0,,19,201,2,0.523697,False
53.0,0.075976,3,1,5.0,500000.0,200,29,187,2,0.07376,False
54.0,0.095492,2,1,5.0,500000.0,,27,195,0,0.0,False
54.0,0.095492,3,1,5.0,500000.0,222,27,205,2,0.080217,False
55.0,0.116978,2,1,5.0,500000.0,,30,184,2,0.362319,False
55.0,0.116978,3,1,5.0,500000.0,196,28,173,1,0.040462,False
56.0,0.14033,2,1,5.0,500000.0,,43,160,1,0.145349,False
56.0,0.14033,3,1,5.0,500000.0,216,39,182,1,0.030431,False
57.0,0.165435,2,1,5.0,500000.0,,53,171,2,0.220677,False
57.0,0.165435,3,1,5.0,500000.0,235,52,208,3,0.065181,False
58.0,0.192169,2,1,5.0,500000.0,,56,157,1,0.11374,False
58.0,0.192169,3,1,5.0,500000.0,220,53,182,5,0.114037,False
59.0,0.220404,2,1,5.0,500000.0,,61,167,1,0.098164,False
59.0,0.220404,3,1,5.0,500000.0,223,59,161,1,0.023476,False
60.0,0.25,2,1,5.0,500000.0,,47,157,0,0.0,False
60.0,0.25,3,1,5.0,500000.0,241,63,173,2,0.044224,False
61.0,0.280814,2,1,5.0,500000.0,,76,164,5,0.401155,False
61.0,0.280814,3,1,5.0,500000.0,195,59,147,1,0.022484,False
62.0,0.312697,2,1,5.0,500000.0,,77,147,0,0.0,False
62.0,0.312697,3,1,5.0,500000.0,227,77,150,5,0.098268,False
63.0,0.345492,2,1,5.0,500000.0,,92,156,0,0.0,False
63.0,0.345492,3,1,5.0,500000.0,216,81,154,1,0.017316,False
64.0,0.379039,2,1,5.0,500000.0,,89,140,3,0.24077,False
64.0,0.379039,3,1,5.0,500000.0,213,85,126,1,0.019888,False
65.0,0.413176,2,1,5.0,500000.0,,92,139,3,0.234595,False
65.0,0.413176,3,1,5.0,500000.0,233,105,142,2,0.031254,False
66.0,0.447736,2,1,5.0,500000.0,,116,132,2,0.130617,False
66.0,0.447736,3,1,5.0,500000.0,256,110,136,2,0.034225,False
67.0,0.48255,2,1,5.0,500000.0,,90,106,6,0.628931,False
67.0,0.48255,3,1,5.0,500000.0,214,112,105,2,0.036395,False
68.0,0.51745,2,1,5.0,500000.0,,113,112,4,0.316056,False
68.0,0.51745,3,1,5.0,500000.0,220,132,93,1,0.017921,False
69.0,0.552264,2,1,5.0,500000.0,,120,98,3,0.255102,False
69.0,0.552264,3,1,5.0,500000.0,219,124,111,2,0.031822,False
70.0,0.586824,2,1,5.0,500000.0,,145,92,2,0.149925,False
70.0,0.586824,3,1,5.0,500000.0,218,120,91,1,0.019963,False
71.0,0.620961,2,1,5.0,500000.0,,137,103,2,0.141733,False
71.0,0.620961,3,1,5.0,500000.0,229,152,88,5,0.085601,False
72.0,0.654508,2,1,5.0,500000.0,,135,78,3,0.2849,False
72.0,0.654508,3,1,5.0,500000.0,216,166,77,3,0.050696,False
73.0,0.687303,2,1,5.0,500000.0,,160,72,5,0.434028,False
73.0,0.687303,3,1,5.0,500000.0,181,144,55,2,0.045707,False
74.0,0.719186,2,1,5.0,500000.0,,165,62,0,0.0,False
74.0,0.719186,3,1,5.0,500000.0,215,175,61,1,0.020141,False
75.0,0.75,2,1,5.0,500000.0,,150,59,1,0.112994,False
75.0,0.75,3,1,5.0,500000.0,212,163,53,0,0.0,False
76.0,0.779596,2,1,5.0,500000.0,,178,72,2,0.156055,False
76.0,0.779596,3,1,5.0,500000.0,220,174,54,0,0.0,False
77.0,0.807831,2,1,5.0,500000.0,,200,35,1,0.142857,False
77.0,0.807831,3,1,5.0,500000.0,221,170,45,1,0.028889,False
78.0,0.834565,2,1,5.0,500000.0,,202,42,0,0.0,False
78.0,0.834565,3,1,5.0,500000.0,209,173,45,3,0.080539,False
79.0,0.85967,2,1,5.0,500000.0,,170,40,1,0.147059,False
79.0,0.85967,3,1,5.0,500000.0,230,204,36,1,0.031318,False
80.0,0.883022,2,1,5.0,500000.0,,199,31,0,0.0,False
80.0,0.883022,3,1,5.0,500000.0,223,201,32,2,0.069341,False
81.0,0.904508,2,1,5.0,500000.0,,204,21,1,0.233427,False
81.0,0.904508,3,1,5.0,500000.0,217,200,25,1,0.0434,False
82.0,0.924024,2,1,5.0,500000.0,,211,17,0,0.0,False
82.0,0.924024,3,1,5.0,500000.0,229,210,30,9,0.327143,False
83.0,0.941474,2,1,5.0,500000.0,,215,14,2,0.664452,False
83.0,0.941474,3,1,5.0,500000.0,219,208,16,1,0.065805,False
84.0,0.956773,2,1,5.0,500000.0,,226,14,2,0.632111,False
84.0,0.956773,3,1,5.0,500000.0,225,218,14,0,0.0,False
85.0,0.969846,2,1,5.0,500000.0,,208,12,3,1.201923,False
85.0,0.969846,3,1,5.0,500000.0,234,230,11,3,0.27747,False
86.0,0.980631,2,1,5.0,500000.0,,201,11,1,0.452284,False
86.0,0.980631,3,1,5.0,500000.0,226,222,11,1,0.092547,False
87.0,0.989074,2,1,5.0,500000.0,,253,5,1,0.790514,False
87.0,0.989074,3,1,5.0,500000.0,205,221,12,1,0.0773,False
88.0,0.995134,2,1,5.0,500000.0,,225,12,4,1.481481,False
88.0,0.995134,3,1,5.0,500000.0,194,211,13,1,0.070725,False
89.0,0.998782,2,1,5.0,500000.0,,221,9,3,1.508296,False
89.0,0.998782,3,1,5.0,500000.0,244,230,5,0,0.0,False
90.0,1.0,2,1,5.0,500000.0,,237,12,3,1.054852,False
90.0,1.0,3,1,5.0,500000.0,220,213,11,3,0.28169,False
91.0,0.998782,2,1,5.0,500000.0,,214,7,1,0.667557,False
91.0,0.998782,3,1,5.0,500000.0,221,226,8,1,0.122235,False
92.0,0.995134,2,1,5.0,500000.0,,203,5,1,0.985222,False
92.0,0.995134,3,1,5.0,500000.0,226,224,9,1,0.112103,False
93.0,0.989074,2,1,5.0,500000.0,,209,13,2,0.736106,False
93.0,0.989074,3,1,5.0,500000.0,205,206,13,2,0.153099,False
94.0,0.980631,2,1,5.0,500000.0,,217,12,4,1.536098,False
94.0,0.980631,3,1,5.0,500000.0,191,188,12,1,0.084663,False
95.0,0.969846,2,1,5.0,500000.0,,225,16,3,0.833333,False
95.0,0.969846,3,1,5.0,500000.0,212,209,15,2,0.135247,False
96.0,0.956773,2,1,5.0,500000.0,,195,16,1,0.320513,False
96.0,0.956773,3,1,5.0,500000.0,204,182,10,1,0.112088,False
97.0,0.941474,2,1,5.0,500000.0,,194,20,1,0.257732,False
97.0,0.941474,3,1,5.0,500000.0,216,188,28,2,0.082067,False
98.0,0.924024,2,1,5.0,500000.0,,216,28,5,0.82672,False
98.0,0.924024,3,1,5.0,500000.0,219,203,15,2,0.143842,False
99.0,0.904508,2,1,5.0,500000.0,,220,26,2,0.34965,False
99.0,0.904508,3,1,5.0,500000.0,226,213,22,1,0.048229,False
100.0,0.883022,2,1,5.0,500000.0,,202,32,3,0.464109,False
100.0,0.883022,3,1,5.0,500000.0,227,191,29,1,0.040982,False
101.0,0.85967,2,1,5.0,500000.0,,189,34,0,0.0,False
101.0,0.85967,3,1,5.0,500000.0,231,187,37,4,0.133545,False
102.0,0.834565,2,1,5.0,500000.0,,184,36,2,0.301932,False
102.0,0.834565,3,1,5.0,500000.0,218,184,45,3,0.078986,False
103.0,0.807831,2,1,5.0,500000.0,,196,47,4,0.434216,False
103.0,0.807831,3,1,5.0,500000.0,227,191,49,1,0.024255,False
104.0,0.779596,2,1,5.0,500000.0,,185,49,1,0.110314,False
104.0,0.779596,3,1,5.0,500000.0,236,196,56,4,0.086006,False
105.0,0.75,2,1,5.0,500000.0,,173,64,2,0.180636,False
105.0,0.75,3,1,5.0,500000.0,217,163,53,1,0.025119,False
106.0,0.719186,2,1,5.0,500000.0,,137,62,1,0.11773,False
106.0,0.719186,3,1,5.0,500000.0,206,147,64,1,0.021896,False
107.0,0.687303,2,1,5.0,500000.0,,155,88,1,0.073314,False
107.0,0.687303,3,1,5.0,500000.0,212,148,58,0,0.0,False
108.0,0.654508,2,1,5.0,500000.0,,152,75,1,0.087719,False
108.0,0.654508,3,1,5.0,500000.0,236,158,79,0,0.0,False
109.0,0.620961,2,1,5.0,500000.0,,157,109,5,0.292176,False
109.0,0.620961,3,1,5.0,500000.0,203,147,82,3,0.050523,False
110.0,0.586824,2,1,5.0,500000.0,,139,106,3,0.203611,False
110.0,0.586824,3,1,5.0,500000.0,215,121,103,0,0.0,False
111.0,0.552264,2,1,5.0,500000.0,,120,93,4,0.358423,False
111.0,0.552264,3,1,5.0,500000.0,221,112,110,2,0.035877,False
112.0,0.51745,2,1,5.0,500000.0,,109,91,0,0.0,False
112.0,0.51745,3,1,5.0,500000.0,244,137,119,1,0.014967,False
113.0,0.48255,2,1,5.0,500000.0,,110,110,2,0.165289,False
113.0,0.48255,3,1,5.0,500000.0,216,97,123,1,0.018104,False
114.0,0.447736,2,1,5.0,500000.0,,102,110,3,0.26738,False
114.0,0.447736,3,1,5.0,500000.0,203,84,133,2,0.036341,False
115.0,0.413176,2,1,5.0,500000.0,,80,125,0,0.0,False
115.0,0.413176,3,1,5.0,500000.0,222,100,133,2,0.033383,False
116.0,0.379039,2,1,5.0,500000.0,,77,144,3,0.270563,False
116.0,0.379039,3,1,5.0,500000.0,189,77,133,2,0.03691,False
117.0,0.345492,2,1,5.0,500000.0,,72,140,1,0.099206,False
117.0,0.345492,3,1,5.0,500000.0,228,82,133,0,0.0,False
118.0,0.312697,2,1,5.0,500000.0,,74,142,1,0.095166,False
118.0,0.312697,3,1,5.0,500000.0,218,63,153,6,0.135699,False
119.0,0.280814,2,1,5.0,500000.0,,78,170,5,0.377074,False
119.0,0.280814,3,1,5.0,500000.0,232,63,174,3,0.063492,False
120.0,0.25,2,1,5.0,500000.0,,70,170,2,0.168067,False
120.0,0.25,3,1,5.0,500000.0,213,52,156,3,0.078772,False
121.0,0.220404,2,1,5.0,500000.0,,51,166,2,0.236239,False
121.0,0.220404,3,1,5.0,500000.0,207,35,179,3,0.099122,False
122.0,0.192169,2,1,5.0,500000.0,,52,173,5,0.555803,False
122.0,0.192169,3,1,5.0,500000.0,220,48,181,0,0.0,False
123.0,0.165435,2,1,5.0,500000.0,,43,191,2,0.243516,False
123.0,0.165435,3,1,5.0,500000.0,222,44,183,1,0.027571,False
124.0,0.14033,2,1,5.0,500000.0,,31,170,1,0.189753,False
124.0,0.14033,3,1,5.0,500000.0,233,35,200,2,0.066571,False
125.0,0.116978,2,1,5.0,500000.0,,28,184,0,0.0,False
125.0,0.116978,3,1,5.0,500000.0,220,40,182,0,0.0,False
126.0,0.095492,2,1,5.0,500000.0,,28,190,1,0.18797,False
126.0,0.095492,3,1,5.0,500000.0,232,28,207,2,0.080055,False
127.0,0.075976,2,1,5.0,500000.0,,32,191,4,0.65445,False
127.0,0.075976,3,1,5.0,500000.0,226,22,213,1,0.048229,False
128.0,0.058526,2,1,5.0,500000.0,,16,202,1,0.309406,False
128.0,0.058526,3,1,5.0,500000.0,232,18,204,0,0.0,False
129.0,0.043227,2,1,5.0,500000.0,,15,217,1,0.30722,False
129.0,0.043227,3,1,5.0,500000.0,207,17,195,1,0.062443,False
130.0,0.030154,2,1,5.0,500000.0,,14,197,1,0.362582,False
130.0,0.030154,3,1,5.0,500000.0,196,18,194,2,0.112257,False
131.0,0.019369,2,1,5.0,500000.0,,16,211,3,0.888626,False
131.0,0.019369,3,1,5.0,500000.0,203,9,210,1,0.107407,False
132.0,0.010926,2,1,5.0,500000.0,,12,229,0,0.0,False
132.0,0.010926,3,1,5.0,500000.0,223,11,221,0,0.0,False
133.0,0.004866,2,1,5.0,500000.0,,7,240,0,0.0,False
