Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,226,5,1,0.884956,False
0.0,1.0,3,1,5.0,500000.0,213,205,1,1,1.039024,False
1.0,0.998782,2,1,5.0,500000.0,,230,8,5,2.717391,False
1.0,0.998782,3,1,5.0,500000.0,209,215,9,2,0.216021,False
2.0,0.995134,2,1,5.0,500000.0,,208,13,2,0.739645,False
2.0,0.995134,3,1,5.0,500000.0,196,208,5,2,0.376923,False
3.0,0.989074,2,1,5.0,500000.0,,222,12,2,0.750751,False
3.0,0.989074,3,1,5.0,500000.0,223,219,12,3,0.254566,False
4.0,0.980631,2,1,5.0,500000.0,,217,6,1,0.768049,False
4.0,0.980631,3,1,5.0,500000.0,225,212,12,1,0.088443,False
5.0,0.969846,2,1,5.0,500000.0,,214,14,2,0.667557,False
5.0,0.969846,3,1,5.0,500000.0,204,211,12,1,0.080569,False
6.0,0.956773,2,1,5.0,500000.0,,197,19,3,0.801496,False
6.0,0.956773,3,1,5.0,500000.0,226,223,22,3,0.138198,False
7.0,0.941474,2,1,5.0,500000.0,,228,16,1,0.274123,False
7.0,0.941474,3,1,5.0,500000.0,214,197,15,0,0.0,False
8.0,0.924024,2,1,5.0,500000.0,,193,28,0,0.0,False
8.0,0.924024,3,1,5.0,500000.0,222,193,23,2,0.100023,False
9.0,0.904508,2,1,5.0,500000.0,,194,20,4,1.030928,False
9.0,0.904508,3,1,5.0,500000.0,191,168,32,1,0.035528,False
10.0,0.883022,2,1,5.0,500000.0,,199,35,0,0.0,False
10.0,0.883022,3,1,5.0,500000.0,232,197,38,2,0.061982,False
11.0,0.85967,2,1,5.0,500000.0,,196,34,2,0.30012,False
11.0,0.85967,3,1,5.0,500000.0,211,194,31,3,0.105254,False
12.0,0.834565,2,1,5.0,500000.0,,171,40,1,0.146199,False
