Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,206,4,0,0.0,False
0.0,1.0,3,1,5.0,500000.0,200,215,12,4,0.310078,False
1.0,0.998782,2,1,5.0,500000.0,,202,18,2,0.550055,False
1.0,0.998782,3,1,5.0,500000.0,213,216,11,3,0.268939,False
2.0,0.995134,2,1,5.0,500000.0,,213,6,1,0.782473,False
2.0,0.995134,3,1,5.0,500000.0,235,226,5,3,0.623894,False
3.0,0.989074,2,1,5.0,500000.0,,219,10,0,0.0,False
3.0,0.989074,3,1,5.0,500000.0,217,210,14,3,0.221429,False
4.0,0.980631,2,1,5.0,500000.0,,198,8,0,0.0,False
4.0,0.980631,3,1,5.0,500000.0,217,214,14,3,0.21729,False
5.0,0.969846,2,1,5.0,500000.0,,206,20,3,0.728155,False
5.0,0.969846,3,1,5.0,500000.0,230,228,22,3,0.13756,False
6.0,0.956773,2,1,5.0,500000.0,,191,15,1,0.34904,False
6.0,0.956773,3,1,5.0,500000.0,198,194,16,3,0.191366,False
7.0,0.941474,2,1,5.0,500000.0,,217,19,2,0.485084,False
7.0,0.941474,3,1,5.0,500000.0,225,209,20,4,0.215311,False
8.0,0.924024,2,1,5.0,500000.0,,190,27,2,0.389864,False
8.0,0.924024,3,1,5.0,500000.0,203,203,21,1,0.047619,False
9.0,0.904508,2,1,5.0,500000.0,,190,36,1,0.146199,False
9.0,0.904508,3,1,5.0,500000.0,231,206,23,1,0.048755,False
10.0,0.883022,2,1,5.0,500000.0,,176,38,1,0.149522,False
10.0,0.883022,3,1,5.0,500000.0,200,202,30,2,0.066007,False
11.0,0.85967,2,1,5.0,500000.0,,183,30,1,0.182149,False
11.0,0.85967,3,1,5.0,500000.0,203,183,33,2,0.06723,False
12.0,0.834565,2,1,5.0,500000.0,,186,55,2,0.195503,False
12.0,0.834565,3,1,5.0,500000.0,214,181,45,3,0.078821,False
13.0,0.807831,2,1,5.0,500000.0,,168,61,2,0.19516,False
13.0,0.807831,3,1,5.0,500000.0,210,183,50,1,0.022951,False
14.0,0.779596,2,1,5.0,500000.0,,161,54,6,0.690131,False
14.0,0.779596,3,1,5.0,500000.0,224,171,65,1,0.020153,False
15.0,0.75,2,1,5.0,500000.0,,172,63,0,0.0,False
15.0,0.75,3,1,5.0,500000.0,186,154,44,1,0.02745,False
16.0,0.719186,2,1,5.0,500000.0,,171,62,2,0.188644,False
16.0,0.719186,3,1,5.0,500000.0,253,179,78,2,0.036241,False
17.0,0.687303,2,1,5.0,500000.0,,143,93,5,0.375968,False
17.0,0.687303,3,1,5.0,500000.0,223,146,91,3,0.050354,False
18.0,0.654508,2,1,5.0,500000.0,,167,81,1,0.073926,False
18.0,0.654508,3,1,5.0,500000.0,211,139,81,2,0.037481,False
19.0,0.620961,2,1,5.0,500000.0,,149,77,1,0.087161,False
19.0,0.620961,3,1,5.0,500000.0,209,135,85,3,0.054641,False
20.0,0.586824,2,1,5.0,500000.0,,139,86,1,0.083654,False
20.0,0.586824,3,1,5.0,500000.0,202,136,86,1,0.017271,False
21.0,0.552264,2,1,5.0,500000.0,,122,101,0,0.0,False
21.0,0.552264,3,1,5.0,500000.0,208,117,101,1,0.017602,False
22.0,0.51745,2,1,5.0,500000.0,,107,104,0,0.0,False
22.0,0.51745,3,1,5.0,500000.0,218,110,114,1,0.017384,False
23.0,0.48255,2,1,5.0,500000.0,,102,115,1,0.085251,False
23.0,0.48255,3,1,5.0,500000.0,232,115,110,0,0.0,False
24.0,0.447736,2,1,5.0,500000.0,,93,135,2,0.159299,False
24.0,0.447736,3,1,5.0,500000.0,202,109,119,2,0.031146,False
25.0,0.413176,2,1,5.0,500000.0,,99,134,2,0.150761,False
25.0,0.413176,3,1,5.0,500000.0,211,88,131,1,0.018303,False
26.0,0.379039,2,1,5.0,500000.0,,86,146,1,0.079643,False
26.0,0.379039,3,1,5.0,500000.0,212,76,132,4,0.08453,False
27.0,0.345492,2,1,5.0,500000.0,,71,163,2,0.172816,False
27.0,0.345492,3,1,5.0,500000.0,200,76,117,1,0.022492,False
28.0,0.312697,2,1,5.0,500000.0,,74,171,0,0.0,False
28.0,0.312697,3,1,5.0,500000.0,238,87,163,1,0.016783,False
29.0,0.280814,2,1,5.0,500000.0,,60,169,3,0.295858,False
29.0,0.280814,3,1,5.0,500000.0,225,69,166,5,0.098219,False
30.0,0.25,2,1,5.0,500000.0,,54,172,2,0.215332,False
30.0,0.25,3,1,5.0,500000.0,208,59,143,2,0.049307,False
31.0,0.220404,2,1,5.0,500000.0,,49,182,0,0.0,False
31.0,0.220404,3,1,5.0,500000.0,218,63,168,2,0.041194,False
32.0,0.192169,2,1,5.0,500000.0,,45,167,1,0.133067,False
32.0,0.192169,3,1,5.0,500000.0,214,42,188,6,0.162614,False
33.0,0.165435,2,1,5.0,500000.0,,36,182,1,0.152625,False
33.0,0.165435,3,1,5.0,500000.0,227,40,183,1,0.031011,False
34.0,0.14033,2,1,5.0,500000.0,,39,189,3,0.407,False
34.0,0.14033,3,1,5.0,500000.0,227,35,189,1,0.034316,False
35.0,0.116978,2,1,5.0,500000.0,,32,177,1,0.176554,False
35.0,0.116978,3,1,5.0,500000.0,212,25,206,2,0.08233,False
36.0,0.095492,2,1,5.0,500000.0,,31,213,0,0.0,False
36.0,0.095492,3,1,5.0,500000.0,193,30,180,2,0.071481,False
37.0,0.075976,2,1,5.0,500000.0,,31,200,3,0.483871,False
37.0,0.075976,3,1,5.0,500000.0,206,15,198,0,0.0,False
38.0,0.058526,2,1,5.0,500000.0,,21,196,0,0.0,False
38.0,0.058526,3,1,5.0,500000.0,206,15,206,4,0.266667,False
39.0,0.043227,2,1,5.0,500000.0,,14,211,2,0.677048,False
39.0,0.043227,3,1,5.0,500000.0,220,16,216,0,0.0,False
40.0,0.030154,2,1,5.0,500000.0,,11,216,1,0.420875,False
40.0,0.030154,3,1,5.0,500000.0,223,6,219,0,0.0,False
41.0,0.019369,2,1,5.0,500000.0,,13,199,2,0.773096,False
41.0,0.019369,3,1,5.0,500000.0,231,10,225,1,0.102667,False
