Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,249,8,5,2.51004,False
0.0,1.0,3,1,5.0,500000.0,232,226,8,4,0.513274,False
1.0,0.998782,2,1,5.0,500000.0,,222,8,0,0.0,False
1.0,0.998782,3,1,5.0,500000.0,217,228,9,1,0.10575,False
2.0,0.995134,2,1,5.0,500000.0,,207,4,0,0.0,False
2.0,0.995134,3,1,5.0,500000.0,239,242,10,1,0.09876,False
3.0,0.989074,2,1,5.0,500000.0,,224,7,2,1.27551,False
3.0,0.989074,3,1,5.0,500000.0,214,215,10,1,0.099535,False
4.0,0.980631,2,1,5.0,500000.0,,219,9,1,0.507357,False
4.0,0.980631,3,1,5.0,500000.0,237,237,16,4,0.25,False
5.0,0.969846,2,1,5.0,500000.0,,204,14,0,0.0,False
5.0,0.969846,3,1,5.0,500000.0,216,210,19,0,0.0,False
6.0,0.956773,2,1,5.0,500000.0,,232,17,1,0.25355,False
6.0,0.956773,3,1,5.0,500000.0,210,216,18,4,0.216049,False
7.0,0.941474,2,1,5.0,500000.0,,212,28,2,0.336927,False
7.0,0.941474,3,1,5.0,500000.0,215,201,20,1,0.053483,False
8.0,0.924024,2,1,5.0,500000.0,,194,24,1,0.214777,False
8.0,0.924024,3,1,5.0,500000.0,221,185,32,1,0.037331,False
9.0,0.904508,2,1,5.0,500000.0,,196,34,0,0.0,False
9.0,0.904508,3,1,5.0,500000.0,229,211,36,1,0.030147,False
10.0,0.883022,2,1,5.0,500000.0,,180,30,4,0.740741,False
10.0,0.883022,3,1,5.0,500000.0,221,209,33,3,0.096129,False
11.0,0.85967,2,1,5.0,500000.0,,207,42,2,0.230044,False
11.0,0.85967,3,1,5.0,500000.0,212,193,25,3,0.131813,False
12.0,0.834565,2,1,5.0,500000.0,,177,55,6,0.616333,False
12.0,0.834565,3,1,5.0,500000.0,217,187,40,3,0.087032,False
13.0,0.807831,2,1,5.0,500000.0,,174,55,3,0.31348,False
13.0,0.807831,3,1,5.0,500000.0,219,173,44,0,0.0,False
14.0,0.779596,2,1,5.0,500000.0,,165,62,0,0.0,False
14.0,0.779596,3,1,5.0,500000.0,228,166,61,2,0.045033,False
15.0,0.75,2,1,5.0,500000.0,,176,52,1,0.109266,False
15.0,0.75,3,1,5.0,500000.0,227,159,80,2,0.035692,False
16.0,0.719186,2,1,5.0,500000.0,,160,70,4,0.357143,False
16.0,0.719186,3,1,5.0,500000.0,213,150,73,3,0.058356,False
17.0,0.687303,2,1,5.0,500000.0,,152,69,1,0.095347,False
17.0,0.687303,3,1,5.0,500000.0,199,142,68,0,0.0,False
18.0,0.654508,2,1,5.0,500000.0,,152,79,2,0.166556,False
18.0,0.654508,3,1,5.0,500000.0,224,145,85,3,0.054523,False
19.0,0.620961,2,1,5.0,500000.0,,122,85,1,0.096432,False
19.0,0.620961,3,1,5.0,500000.0,207,143,85,0,0.0,False
20.0,0.586824,2,1,5.0,500000.0,,136,101,0,0.0,False
20.0,0.586824,3,1,5.0,500000.0,209,120,91,2,0.038278,False
21.0,0.552264,2,1,5.0,500000.0,,123,88,1,0.092387,False
21.0,0.552264,3,1,5.0,500000.0,225,134,97,1,0.01731,False
22.0,0.51745,2,1,5.0,500000.0,,144,115,3,0.181159,False
22.0,0.51745,3,1,5.0,500000.0,223,125,113,2,0.031575,False
23.0,0.48255,2,1,5.0,500000.0,,96,113,5,0.460914,False
23.0,0.48255,3,1,5.0,500000.0,225,116,120,0,0.0,False
24.0,0.447736,2,1,5.0,500000.0,,117,132,3,0.19425,False
24.0,0.447736,3,1,5.0,500000.0,219,103,116,1,0.018329,False
25.0,0.413176,2,1,5.0,500000.0,,112,116,0,0.0,False
25.0,0.413176,3,1,5.0,500000.0,232,89,145,2,0.035955,False
26.0,0.379039,2,1,5.0,500000.0,,77,121,2,0.214661,False
26.0,0.379039,3,1,5.0,500000.0,198,95,124,0,0.0,False
27.0,0.345492,2,1,5.0,500000.0,,84,153,4,0.311236,False
27.0,0.345492,3,1,5.0,500000.0,228,86,142,2,0.03734,False
28.0,0.312697,2,1,5.0,500000.0,,77,145,1,0.089566,False
28.0,0.312697,3,1,5.0,500000.0,213,75,154,2,0.036883,False
29.0,0.280814,2,1,5.0,500000.0,,67,155,3,0.288878,False
29.0,0.280814,3,1,5.0,500000.0,191,58,144,1,0.022869,False
30.0,0.25,2,1,5.0,500000.0,,61,167,5,0.490822,False
30.0,0.25,3,1,5.0,500000.0,213,58,146,2,0.050307,False
31.0,0.220404,2,1,5.0,500000.0,,64,169,2,0.184911,False
31.0,0.220404,3,1,5.0,500000.0,199,51,163,1,0.023938,False
32.0,0.192169,2,1,5.0,500000.0,,45,175,2,0.253968,False
32.0,0.192169,3,1,5.0,500000.0,213,54,168,3,0.070437,False
33.0,0.165435,2,1,5.0,500000.0,,41,165,1,0.14782,False
33.0,0.165435,3,1,5.0,500000.0,208,34,187,3,0.098144,False
34.0,0.14033,2,1,5.0,500000.0,,36,178,3,0.468165,False
34.0,0.14033,3,1,5.0,500000.0,230,37,206,2,0.060352,False
35.0,0.116978,2,1,5.0,500000.0,,35,188,0,0.0,False
35.0,0.116978,3,1,5.0,500000.0,220,34,205,2,0.063128,False
36.0,0.095492,2,1,5.0,500000.0,,29,189,1,0.182448,False
36.0,0.095492,3,1,5.0,500000.0,236,33,197,1,0.036302,False
37.0,0.075976,2,1,5.0,500000.0,,24,217,1,0.192012,False
37.0,0.075976,3,1,5.0,500000.0,211,27,201,1,0.03888,False
38.0,0.058526,2,1,5.0,500000.0,,17,190,0,0.0,False
38.0,0.058526,3,1,5.0,500000.0,216,19,222,1,0.051209,False
39.0,0.043227,2,1,5.0,500000.0,,30,205,4,0.650407,False
39.0,0.043227,3,1,5.0,500000.0,226,14,215,1,0.075083,False
40.0,0.030154,2,1,5.0,500000.0,,6,216,1,0.771605,False
40.0,0.030154,3,1,5.0,500000.0,193,11,180,0,0.0,False
41.0,0.019369,2,1,5.0,500000.0,,10,206,2,0.970874,False
41.0,0.019369,3,1,5.0,500000.0,223,7,226,2,0.281922,False
42.0,0.010926,2,1,5.0,500000.0,,15,213,5,1.564945,False
42.0,0.010926,3,1,5.0,500000.0,233,8,235,4,0.495745,False
43.0,0.004866,2,1,5.0,500000.0,,9,221,0,0.0,False
43.0,0.004866,3,1,5.0,500000.0,229,8,229,6,0.75,False
44.0,0.001218,2,1,5.0,500000.0,,9,236,1,0.47081,False
44.0,0.001218,3,1,5.0,500000.0,225,6,223,0,0.0,False
45.0,0.0,2,1,5.0,500000.0,,8,228,3,1.644737,False
45.0,0.0,3,1,5.0,500000.0,225,7,227,1,0.141598,False
46.0,0.001218,2,1,5.0,500000.0,,6,230,1,0.724638,False
46.0,0.001218,3,1,5.0,500000.0,233,9,234,3,0.331909,False
47.0,0.004866,2,1,5.0,500000.0,,8,190,1,0.657895,False
47.0,0.004866,3,1,5.0,500000.0,222,9,222,2,0.222222,False
48.0,0.010926,2,1,5.0,500000.0,,6,224,2,1.488095,False
48.0,0.010926,3,1,5.0,500000.0,226,20,231,2,0.097835,False
49.0,0.019369,2,1,5.0,500000.0,,16,214,4,1.168224,False
49.0,0.019369,3,1,5.0,500000.0,247,14,223,1,0.079116,False
50.0,0.030154,2,1,5.0,500000.0,,13,218,0,0.0,False
50.0,0.030154,3,1,5.0,500000.0,238,12,228,0,0.0,False
51.0,0.043227,2,1,5.0,500000.0,,23,202,3,0.645717,False
51.0,0.043227,3,1,5.0,500000.0,202,16,199,0,0.0,False
52.0,0.058526,2,1,5.0,500000.0,,27,223,1,0.166085,False
52.0,0.058526,3,1,5.0,500000.0,231,22,222,4,0.189189,False
53.0,0.075976,2,1,5.0,500000.0,,39,195,1,0.131492,False
